rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
1,Surkimus,Hunter,BeastMastery,Dark Ranger,9750753.2461726,530228,729,Stormreaver,Tony Halme Pro Skater,Unyielding Netherprism,Improvised Seaforium Pacemaker,QPqydarAFDnN8TYb,43
2,Elejulego,Shaman,Elemental,,9655884.1335313,461921,729,Argent Dawn,homeless catgirls,Araz's Ritual Forge,Diamantine Voidcore,LnQZ7vKH6Yktm9RN,47
3,Майкинемаг,Hunter,BeastMastery,Dark Ranger,9471109.4220604,533838,729,Ревущий фьорд,Гнев Анархии,Improvised Seaforium Pacemaker,Unyielding Netherprism,YKwjcxaRAd3CgXQH,17
4,Jwag,Hunter,BeastMastery,Dark Ranger,9327178.2626298,450175,729,Turalyon,Pure,Improvised Seaforium Pacemaker,Unyielding Netherprism,fZ6D4YqKyQaLRPtm,50
5,Juriison,Shaman,Elemental,,9318374.5786218,481330,729,Antonidas,The Legions Ten,Diamantine Voidcore,Araz's Ritual Forge,Y3P2GKyfw1x9JrZN,19
6,Arkae,Mage,Arcane,Spellslinger,9298051.7013603,507154,729,Draenor,Save The Wife,Azhiccaran Parapodia,Diamantine Voidcore,D2fRxBVP6yrpXT3Q,12
7,Shmouk,Hunter,BeastMastery,Dark Ranger,9230131.5163081,493809,729,Hyjal,Aprèm,Araz's Ritual Forge,Unyielding Netherprism,4axk3Y2FPTHfLgym,22
8,Гримджок,Mage,Arcane,Spellslinger,9225112.4247562,550176,729,Ревущий фьорд,Гнев Анархии,Astral Antenna,Diamantine Voidcore,nyLYkd4FpMGDrt8B,39
9,Domidon,Hunter,BeastMastery,Dark Ranger,9214322.2013049,459810,729,Kazzak,Discoveries,Unyielding Netherprism,Araz's Ritual Forge,Lrv6f91HWq4TNbQD,46
10,Элслэйерх,DeathKnight,Frost,Rider of the Apocalypse,9196928.6110219,527727,729,Ревущий фьорд,Гнев Анархии,Unyielding Netherprism,Astral Antenna,WPxMnbKQvRZAhpDw,47
11,Shamanito,Shaman,Elemental,,9167716.3384631,497479,729,Hyjal,Blue Castle,Diamantine Voidcore,Araz's Ritual Forge,3fqTdLVQH8p1atBK,20
12,Zoophobe,Hunter,Marksmanship,Dark Ranger,9083073.0347404,470739,729,Tarren Mill,Husk at Crit,Screams of a Forgotten Sky,Unyielding Netherprism,n1z3LZDaKdjCNyFx,26
13,Миратриксус,DeathKnight,Frost,Rider of the Apocalypse,9044803.761061,568034,729,Ревущий фьорд,Гнев Анархии,Unyielding Netherprism,Astral Antenna,PrFqHz73mTNbDLV6,49
14,Ashyn,Hunter,Marksmanship,Dark Ranger,9015978.6100232,494806,729,Blackmoore,My Way to Skill,Unyielding Netherprism,Screams of a Forgotten Sky,T3XvhVH68YxwyR9f,64
15,Табазджуниор,Shaman,Elemental,,8991449.755134,481604,729,Ревущий фьорд,У беляша,Diamantine Voidcore,Araz's Ritual Forge,HB7yKmXp4q3ZrMDv,29
16,Zapzten,Shaman,Elemental,,8978376.5040427,477554,729,Twisting Nether,Somali Yacht Club,Diamantine Voidcore,Araz's Ritual Forge,VfPwW6qJKH37zh4b,38
17,Prrswoof,Shaman,Elemental,,8967935.4145565,474215,729,Twisting Nether,Cursed Gifts,Araz's Ritual Forge,Diamantine Voidcore,W63gjtADGkHaXTJz,49
18,Mâsân,Hunter,BeastMastery,Dark Ranger,8960399.7875291,489523,729,Twisting Nether,,Araz's Ritual Forge,Unyielding Netherprism,bfWyLYrkGaBKjdg2,19
19,Нортли,Mage,Arcane,Spellslinger,8959190.3634866,481604,729,Ревущий фьорд,У беляша,Diamantine Voidcore,Astral Antenna,HB7yKmXp4q3ZrMDv,29
20,Bentbue,Hunter,BeastMastery,Dark Ranger,8943909.8740349,480477,729,Draenor,Bestyrelsen,Unyielding Netherprism,Araz's Ritual Forge,Tb84ZjPyRkV37pBw,27
21,Augmentfluup,Evoker,Augmentation,Scalecommander,8931942.8402635,484944,729,Tarren Mill,Hatewatching,Diamantine Voidcore,Lily of the Eternal Weave,xYtM2cNbC8VpXvFj,9
22,Kaellachtwo,Shaman,Elemental,,8930076.4964555,479702,729,Draenor,Interstellar Bum Orcs,Araz's Ritual Forge,Diamantine Voidcore,Q29rGfVhv4qCjDmP,14
23,Мейникс,Rogue,Assassination,Deathstalker,8929300.5049461,554477,729,Ревущий фьорд,Гнев Анархии,Unyielding Netherprism,Astral Antenna,3WFTy9GbNcPx4w8r,7
24,Anonymous,Mage,Arcane,Spellslinger,8911366.4969623,484668,729,,,Diamantine Voidcore,Astral Antenna,a:xNBv4aqDGfTmzWgr,42
25,Dinohunt,Hunter,BeastMastery,Dark Ranger,8910854.0128085,487499,729,Blackrock,Die Portsteinschwalben,Araz's Ritual Forge,Unyielding Netherprism,WhPK8nVj1GvHA2J6,13
26,Jedslims,Hunter,BeastMastery,Dark Ranger,8892721.0127719,483823,729,Twisting Nether,W A S H E D,Improvised Seaforium Pacemaker,Unyielding Netherprism,DtcJn8wz9B4Vr7Pp,11
27,Nïghtmaré,Shaman,Elemental,,8889078.4839628,465787,729,Draenor,homeless catgirls,Diamantine Voidcore,Araz's Ritual Forge,8Jf1dCDZP7xHNMbt,47
28,Фдвтолпу,Hunter,BeastMastery,Dark Ranger,8884912.036639,533515,729,Гордунни,Биботрясы Златоземья,Araz's Ritual Forge,Unyielding Netherprism,8Z4xbRHcAr6zyhPL,16
29,Мусенито,Hunter,BeastMastery,Dark Ranger,8881860.0137387,553263,729,Ревущий фьорд,Гнев Анархии,Astral Antenna,Unyielding Netherprism,B3NnQa4WfvcY2bXK,12
30,Nindo,Hunter,BeastMastery,Dark Ranger,8878858.3588722,487055,729,Gul'dan,Divinum,Improvised Seaforium Pacemaker,Unyielding Netherprism,1fFNg4GKayTXVP9x,19
31,Poohands,Shaman,Elemental,,8873663.136837,497645,729,Draenor,Rhythm,Araz's Ritual Forge,Diamantine Voidcore,vY1xfjC8PDraHnGm,33
32,Behis,Hunter,BeastMastery,Dark Ranger,8871455.4520944,474428,729,Silvermoon,Kultzipuppelit,Araz's Ritual Forge,Unyielding Netherprism,R7paQwtJrHxcNkZm,36
33,Breathlyy,Hunter,Marksmanship,Dark Ranger,8869125.2735853,495522,729,Draenor,One of Us,Astral Antenna,Unyielding Netherprism,praJLCDxQYW13ThG,23
34,Mörkö,Hunter,BeastMastery,Dark Ranger,8859815.5181347,502520,729,Balnazzar,Kilta,Unyielding Netherprism,So'leah's Secret Technique,6jW7Pth9fGnBpbLC,17
35,Noothunter,Hunter,BeastMastery,Dark Ranger,8855952.2311584,490779,729,Draenor,Greggs,Unyielding Netherprism,Araz's Ritual Forge,xaKcywkVJfdbDprP,27
36,Bobbirr,Hunter,BeastMastery,Dark Ranger,8847993.425341,470914,729,Twisting Nether,Salted,Unyielding Netherprism,Sigil of the Cosmic Hunt,LjvQJgMYwzxd6XV2,53
37,Patrioi,Shaman,Elemental,,8846880.1744216,461262,729,Antonidas,Copium,Diamantine Voidcore,Araz's Ritual Forge,JPf2aXRLkWt849Tp,24
38,Specialbarn,Hunter,BeastMastery,Dark Ranger,8833072.0040245,500418,729,Draenor,Husk at Crit,Araz's Ritual Forge,Unyielding Netherprism,pM6X8cZwQrfvxbRA,18
39,Никольэнисн,Hunter,BeastMastery,Dark Ranger,8830404.1321318,471640,729,Ревущий фьорд,Налегке,Araz's Ritual Forge,Unyielding Netherprism,BjNJcTvGx3L62dta,20
40,Èd,Hunter,BeastMastery,Dark Ranger,8829987.1812037,493722,729,Tarren Mill,HKM,Unyielding Netherprism,Araz's Ritual Forge,xq3p49h6jVaYbDmB,19
41,Superstar,Hunter,Marksmanship,Dark Ranger,8828108.7927448,532743,729,Darkspear,Renegades,Signet of the Priory,Unyielding Netherprism,FJ1bC7ahN43gGHDd,30
42,Supdilalas,Hunter,BeastMastery,Dark Ranger,8827846.4992416,478937,729,Twisting Nether,Hypothetical,Araz's Ritual Forge,Unyielding Netherprism,H7612p8JyBRM4gXz,13
43,Wnipeg,Evoker,Devastation,Chronowarden,8818586.1240989,471686,729,Tarren Mill,Reko,Araz's Ritual Forge,Diamantine Voidcore,DT2ma3tqMLKQX4YR,19
44,Галаджио,Mage,Arcane,Spellslinger,8808672.5330083,539496,729,Ревущий фьорд,Камбэк,Astral Antenna,Diamantine Voidcore,WBbH4wnCXhQ1D86L,1
45,Incelcore,Mage,Arcane,Spellslinger,8807222.4711544,565425,729,Twisting Nether,,Diamantine Voidcore,Astral Antenna,aAnyw86HpW7mvLtF,47
46,Anonymous,Hunter,BeastMastery,Dark Ranger,8798433.8855466,500658,729,,,Unyielding Netherprism,Astral Antenna,a:wcFq1YVjHdGPk8gM,9
47,Nexiz,Mage,Arcane,Spellslinger,8796521.751725,478116,729,Eredar,Happy,Diamantine Voidcore,Azhiccaran Parapodia,9FhZ7V8nWYpALTNQ,9
48,Kitzuh,Druid,Balance,Druid of the Claw,8781206.4850982,428230,729,Tarren Mill,Mental Apocalypse,Araz's Ritual Forge,Diamantine Voidcore,JP4ZAapgwTb3WDhH,58
49,Blackbober,Hunter,BeastMastery,Dark Ranger,8780757.2861363,507145,729,Drak'thul,Bedtime Bandits,Unyielding Netherprism,Araz's Ritual Forge,mwkJzKgR6BAdr8Zh,14
