rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
1,Шаттом,Warlock,Destruction,Diabolist,11307854.534589,179046,729,Ревущий фьорд,Гнев Анархии,Diamantine Voidcore,Azhiccaran Parapodia,CzjWarTyb1JRPNHY,43
2,Paithy,Warlock,Destruction,Diabolist,11031662.574294,238411,729,Hyjal,Wisp,Azhiccaran Parapodia,Diamantine Voidcore,86mxMRf4FQqKWDzt,27
3,Leedlle,DeathKnight,Frost,Rider of the Apocalypse,10933939.844089,248604,729,Silvermoon,Winters Heart,Unyielding Netherprism,Astral Antenna,bFJPKc6RHtBC2r4m,25
4,Elejul,DeathKnight,Frost,Rider of the Apocalypse,10773941.124677,281663,729,Argent Dawn,one last e-date,Unyielding Netherprism,Araz's Ritual Forge,TcdHD3h1FXy6pGNB,29
5,Чиродимарция,Evoker,Augmentation,Scalecommander,10695973.738226,248955,729,Ревущий фьорд,Гнев Анархии,Diamantine Voidcore,Lily of the Eternal Weave,X1n23j4qJ9kVTbcy,27
6,Элслэйерх,DeathKnight,Frost,Rider of the Apocalypse,10678748.176863,269316,729,Ревущий фьорд,Гнев Анархии,Unyielding Netherprism,Astral Antenna,pw3mgxKDjMCWLArR,22
7,Firekatsix,Warlock,Destruction,Diabolist,10659793.931932,253392,729,Twisting Nether,Method,Astral Antenna,Azhiccaran Parapodia,GPJcKwzQ7fLp2FbN,30
8,Крипманиноф,Warlock,Destruction,Diabolist,10628870.920405,303247,728,Ревущий фьорд,Гнев Анархии,Azhiccaran Parapodia,Diamantine Voidcore,Xzr3h2A4aQVx9vBt,57
9,Spiritvalc,Shaman,Elemental,,10618526.803719,231591,729,Tarren Mill,Phoenix,Araz's Ritual Forge,Diamantine Voidcore,gJfRWpvKhjP4GT7q,33
10,Kawä,Mage,Arcane,Spellslinger,10616662.266094,248604,729,Silvermoon,Winters Heart,Diamantine Voidcore,Astral Antenna,bFJPKc6RHtBC2r4m,25
11,Шаттомгпт,Warlock,Affliction,Diabolist,10615096.534733,250024,729,Ревущий фьорд,Гнев Анархии,Diamantine Voidcore,Araz's Ritual Forge,7yLQp8KbXvqnm1Md,29
12,Augmentfluup,Evoker,Augmentation,Scalecommander,10613492.359038,229814,729,Tarren Mill,Hatewatching,Diamantine Voidcore,Lily of the Eternal Weave,zRfnWVmGbwLXk9Za,39
13,Poneybøy,Warlock,Destruction,Diabolist,10610321.299352,264224,729,Hyjal,Wave,Diamantine Voidcore,Azhiccaran Parapodia,x96QvCyHDp7XgmM2,4
14,Firekatfour,Warlock,Destruction,Diabolist,10587223.002105,257446,729,Twisting Nether,Method,Azhiccaran Parapodia,Diamantine Voidcore,t7WdkXnjzLgBGFm9,24
15,Mirfavoker,Evoker,Augmentation,Scalecommander,10571364.725001,253528,729,Hyjal,Quichons,Lily of the Eternal Weave,Diamantine Voidcore,ctLkJqvwbfBxT7P8,19
16,Snooze,Evoker,Augmentation,Scalecommander,10546379.869083,241986,728,Zirkel des Cenarius,Schwingen des Phoenix,Lily of the Eternal Weave,Diamantine Voidcore,bYxwp72j8kNrz4BT,29
17,Nailtooths,Priest,Shadow,Archon,10545946.932501,418957,723,Argent Dawn,Penda Nèthl Heshlà,So'leah's Secret Technique,Araz's Ritual Forge,gFYjRx73TcWZ4hqf,26
18,Рахманиноф,Warlock,Destruction,Diabolist,10536154.373377,255329,729,Ревущий фьорд,Гнев Анархии,Diamantine Voidcore,Azhiccaran Parapodia,d3NHbqYgnFjrBMcp,27
19,Майкинемаг,Hunter,BeastMastery,Dark Ranger,10535889.078648,250024,729,Ревущий фьорд,Гнев Анархии,Araz's Ritual Forge,Unyielding Netherprism,7yLQp8KbXvqnm1Md,29
20,Shadowdager,Rogue,Subtlety,Deathstalker,10528637.569855,241928,729,Silvermoon,No Hard Feelings,Araz's Ritual Forge,Unyielding Netherprism,hYKBAbPQjHtwF93V,51
21,Firekathree,Warlock,Destruction,Diabolist,10498337.0676,253151,729,Twisting Nether,Method,Azhiccaran Parapodia,Diamantine Voidcore,9Vz71Kf8BqxTyrA3,29
22,Mantiseven,Mage,Arcane,Spellslinger,10494671.042256,421048,728,Kazzak,,Astral Antenna,Diamantine Voidcore,ZFh8zKHGVmYPk9Dt,110
23,Xerophobous,Warlock,Destruction,Diabolist,10491296.930112,189388,729,Draenor,Reflection,Diamantine Voidcore,Astral Antenna,ykgG24brCMfLNw7n,28
24,Equarasp,Priest,Shadow,Archon,10428207.711157,409718,728,Twisting Nether,Metaverse,Araz's Ritual Forge,Azhiccaran Parapodia,d4Tft8WGFAJn9j7X,28
25,Таксиубийца,Evoker,Augmentation,Chronowarden,10403678.870235,253150,729,Ревущий фьорд,Гнев Анархии,Diamantine Voidcore,Araz's Ritual Forge,Vf6mrcvhFANb8PTH,25
