rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
1,Surkimus,Hunter,BeastMastery,Dark Ranger,9285094.3598831,207673,729,Stormreaver,Tony Halme Pro Skater,Unyielding Netherprism,Improvised Seaforium Pacemaker,QPqydarAFDnN8TYb,26
2,Celance,Hunter,BeastMastery,Dark Ranger,9181004.5443011,212794,729,Kazzak,Advent,Improvised Seaforium Pacemaker,Unyielding Netherprism,xXg4CARD23GTqNyc,17
3,Пиццекантроп,Hunter,Marksmanship,Dark Ranger,9058040.4321856,234714,729,Ревущий фьорд,,Unyielding Netherprism,Sigil of the Cosmic Hunt,zd4cJFVWxaBQvj7R,46
4,Dëêpâtrâktør,Hunter,Marksmanship,Dark Ranger,9033291.2438501,191671,729,Ragnaros,Unnecessary Flame,Astral Antenna,Unyielding Netherprism,mFAnVD4wxZbHcNTB,39
5,Mysrunken,Hunter,Marksmanship,Dark Ranger,8994443.4616974,210521,729,Sylvanas,Opposite,Unyielding Netherprism,Astral Antenna,QRJabrcNT4qmWhBC,28
6,Даняауг,Evoker,Augmentation,Chronowarden,8815011.0331693,157525,729,Ревущий фьорд,Гнев Анархии,Astral Antenna,Araz's Ritual Forge,CzjWarTyb1JRPNHY,49
7,Spasa,Druid,Balance,Unknown Cluster 4 (Unknown),8798276.5022797,198049,729,Kazzak,Vex Thal,Araz's Ritual Forge,Diamantine Voidcore,wpK9bfxY3MAVdrqN,54
8,Genx,Druid,Balance,Tiger Thwap! (Unknown),8763464.5519753,191139,729,Stormscale,Deception,Diamantine Voidcore,Araz's Ritual Forge,pgcqWmJkMQBf1ahA,6
9,Gamz,Druid,Balance,Druid of the Claw,8728377.7544287,203672,729,Laughing Skull,Echoes,Araz's Ritual Forge,Diamantine Voidcore,MdYfgw3kHyWQxz71,54
10,Huntoban,Hunter,BeastMastery,Dark Ranger,8717148.9477201,215532,729,Burning Legion,Enclave,Unyielding Netherprism,Araz's Ritual Forge,NYjv4fcXBatPJZ1H,36
