rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
1,Parijan,Hunter,BeastMastery,Dark Ranger,11873619.563432,347025,729,Draenor,The Fugitives,Araz's Ritual Forge,Unyielding Netherprism,adARbcgm4WfDVXqJ,9
2,Zingushunt,Hunter,BeastMastery,Dark Ranger,11711695.152532,354515,729,Tarren Mill,Misty Moon,Araz's Ritual Forge,Unyielding Netherprism,JtBYpxnVbFvP8zQk,1
3,Turtlehunts,Hunter,BeastMastery,Dark Ranger,11492951.638016,377652,729,Kazzak,Project,Unyielding Netherprism,Astral Antenna,QKGd94HYjT1trwFq,74
4,Zwartekat,Hunter,BeastMastery,Dark Ranger,11452911.895132,353817,729,Twisting Nether,Disciples Reborn,Araz's Ritual Forge,Unyielding Netherprism,6dxZqC791f8QbaAH,8
5,Thrifé,Hunter,BeastMastery,Dark Ranger,11399134.494725,348088,729,Draenor,RAVAGE,Araz's Ritual Forge,Unyielding Netherprism,1x9pVPMGmz6DKvdn,48
6,Bobbirr,Hunter,BeastMastery,Dark Ranger,11237283.447512,345803,729,Twisting Nether,Salted,Unyielding Netherprism,Sigil of the Cosmic Hunt,brdAFqxH41ycJzkw,47
7,Celance,Hunter,BeastMastery,Dark Ranger,11218764.401239,339259,729,Kazzak,Advent,Araz's Ritual Forge,Unyielding Netherprism,67kYRn2tL9vaBqjV,12
8,Shellymonk,Hunter,BeastMastery,Dark Ranger,11212513.515116,404732,729,Sylvanas,Who Asked,Unyielding Netherprism,Araz's Ritual Forge,AW7wdtXh6b1cDrqk,40
9,Snifilysmgma,Hunter,BeastMastery,Dark Ranger,11167623.731315,349673,729,Kazzak,RCG,Unyielding Netherprism,Araz's Ritual Forge,3wxbat9qrTpmj7QY,6
10,Badspoonie,Hunter,BeastMastery,Dark Ranger,11144121.606107,345805,729,Kazzak,The Next Step,Unyielding Netherprism,Araz's Ritual Forge,KzQ3WR47dvJ6ZCrf,41
11,Turtlehuntt,Hunter,BeastMastery,Dark Ranger,11059666.330319,376594,729,Kazzak,Project,Unyielding Netherprism,Astral Antenna,bkf6JVBdgxZnNzPX,49
12,Notalent,Hunter,BeastMastery,Dark Ranger,11055988.2774,371334,729,Kazzak,OPENLY HOSTILE,Astral Antenna,Unyielding Netherprism,yxWH8pJGmBDXaRLP,19
13,Olivergus,Hunter,BeastMastery,Dark Ranger,11044692.239584,350123,729,Outland,Совет директоров,Unyielding Netherprism,Araz's Ritual Forge,AN9yGtTMFrZHVaxk,1
14,Jurashh,Hunter,BeastMastery,Dark Ranger,11029789.827822,411377,729,Draenor,Catalyst,Unyielding Netherprism,Araz's Ritual Forge,BN8GMdZXfQ2J9LgD,16
15,Элслэйерх,DeathKnight,Frost,Rider of the Apocalypse,11004029.335502,379881,729,Ревущий фьорд,Гнев Анархии,Unyielding Netherprism,Astral Antenna,hWtKdyvPjRkGwfFA,44
16,Gyldanis,Hunter,BeastMastery,Dark Ranger,10970453.290372,366220,729,Blackrock,raise,Unyielding Netherprism,Ara-Kara Sacbrood,RgzrTmwf9jB8JNPV,12
17,Charmieone,Hunter,BeastMastery,Dark Ranger,10968205.288467,346868,729,Tarren Mill,Echo,Unyielding Netherprism,Astral Antenna,ZAJWwkfFyxpX4K8P,37
18,Unfaíthfull,Hunter,BeastMastery,Dark Ranger,10956649.811916,361540,729,Tarren Mill,Cursed Gifts,Unyielding Netherprism,Araz's Ritual Forge,YvH7bmp2tcLkVAr6,33
19,Turtlehunt,Hunter,BeastMastery,Dark Ranger,10907469.275494,421032,729,Kazzak,Project,Astral Antenna,Unyielding Netherprism,xpX6qQ4mBtG3KzNf,1
20,Huntoban,Hunter,BeastMastery,Dark Ranger,10903533.624765,419081,729,Burning Legion,Enclave,Unyielding Netherprism,Araz's Ritual Forge,2cPGnY3DrwdJyAfb,63
21,Фриволкер,Hunter,BeastMastery,Dark Ranger,10883622.820047,405284,729,Ревущий фьорд,Авангард Альфа,Araz's Ritual Forge,Unyielding Netherprism,9FBQTvaVLpnDRMPk,8
22,Antaresos,Hunter,BeastMastery,Dark Ranger,10862469.613945,346738,729,Thrall,constant,Unyielding Netherprism,Astral Antenna,HQ2NBqYCKcD9Avr6,14
23,Leviathor,Hunter,BeastMastery,Dark Ranger,10850824.978592,411064,729,Blackmoore,Alpaka Mafia,Unyielding Netherprism,Astral Antenna,LvzGbtDdq96T7VjP,20
24,Kawi,Hunter,BeastMastery,Dark Ranger,10850696.746003,358851,729,Tarren Mill,Drama,Araz's Ritual Forge,Unyielding Netherprism,3GKvxC9ZDfqbtT17,12
25,Airponchik,Hunter,BeastMastery,Dark Ranger,10821618.382763,370793,729,Tarren Mill,Grim,Araz's Ritual Forge,Unyielding Netherprism,yzZgKNLwGD97qQcb,30
26,Мусенито,Hunter,BeastMastery,Dark Ranger,10799825.089962,379881,729,Ревущий фьорд,Гнев Анархии,Astral Antenna,Unyielding Netherprism,hWtKdyvPjRkGwfFA,44
27,Sprikey,Hunter,BeastMastery,Dark Ranger,10781136.53262,358830,729,Tarren Mill,Drama,Araz's Ritual Forge,Unyielding Netherprism,Lh1f8YbgNrT9jq4B,11
