rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
1,Crolley,Hunter,Marksmanship,Dark Ranger,9067625.8592527,235088,729,Hyjal,Larmes de Hadès,Astral Antenna,Unyielding Netherprism,CZtN2h3Hrd98bTka,3
2,Мусенптенчик,Druid,Balance,Druid of the Claw,8893090.1588943,143114,729,Ревущий фьорд,Гнев Анархии,Araz's Ritual Forge,Diamantine Voidcore,CzjWarTyb1JRPNHY,8
3,Snooze,Evoker,Augmentation,Scalecommander,8633763.6743594,187102,728,Zirkel des Cenarius,Schwingen des Phoenix,Diamantine Voidcore,Lily of the Eternal Weave,bYgPFcr4KxZ6VLNd,4
4,Элслэйерх,DeathKnight,Unholy,Rider of the Apocalypse,8604345.9829227,143114,729,Ревущий фьорд,Гнев Анархии,Araz's Ritual Forge,Astral Antenna,CzjWarTyb1JRPNHY,8
5,Yasa,Druid,Balance,Druid of the Claw,8551296.2277665,184294,729,Zirkel des Cenarius,Schwingen des Phoenix,Araz's Ritual Forge,Diamantine Voidcore,rRYVXb6k74KtWdzv,5
6,Mowsffs,Druid,Balance,Unknown Cluster 4 (Unknown),8538399.0630824,178671,729,Tarren Mill,Drama,Araz's Ritual Forge,Diamantine Voidcore,6FW3Cgr1tv7Xx2kR,30
7,Uldza,Hunter,BeastMastery,Dark Ranger,8461090.0180327,171910,729,Silvermoon,Deception Red,Astral Antenna,Unyielding Netherprism,pgcqWmJkMQBf1ahA,1
8,Cotti,Druid,Balance,Druid of the Claw,8376540.1887772,186781,729,Tarren Mill,Hatewatching,Araz's Ritual Forge,Diamantine Voidcore,gC7NwR6FJ1V4fH8Q,9
9,Niffebóòm,Druid,Balance,Druid of the Claw,8278328.8454865,184424,729,Ragnaros,Unnecessary Flame,Araz's Ritual Forge,Diamantine Voidcore,LGDc9C3HjBJhgzAy,4
10,Morlán,Druid,Balance,Tiger Thwap! (Unknown),8277547.948301,181435,729,Blackmoore,Burden,Araz's Ritual Forge,Diamantine Voidcore,pgHbw3hDFYMJ8yPm,1
11,Aimscumshot,Hunter,Marksmanship,Dark Ranger,8268227.2824528,252382,729,Kazzak,,Sigil of the Cosmic Hunt,Unyielding Netherprism,7VfFYtq2NHnpQ64K,7
12,Drlaser,Druid,Balance,Druid of the Claw,8238312.891288,179695,729,Tarren Mill,Mayhem,Araz's Ritual Forge,Diamantine Voidcore,M6DF2fKACyrqT3Rd,3
13,Tønnes,Hunter,Marksmanship,Dark Ranger,8228477.1745568,241463,729,Twisting Nether,TED,Unyielding Netherprism,Astral Antenna,TntV4vX83PDCKFZQ,5
14,Celance,Hunter,BeastMastery,Dark Ranger,8225130.1929034,163035,729,Kazzak,Advent,Improvised Seaforium Pacemaker,Unyielding Netherprism,pyTMXq4bwYxn8fCZ,5
15,Gamz,Druid,Balance,Tiger Thwap! (Unknown),8223393.9463,188678,728,Laughing Skull,Echoes,Araz's Ritual Forge,Astral Antenna,MdYfgw3kHyWQxz71,12
16,Looqd,Druid,Balance,Druid of the Claw,8215230.4065421,183671,729,Twisting Nether,The Next Step,Diamantine Voidcore,Araz's Ritual Forge,YLFhaKdcXDtzkw9Q,5
17,Jinjiao,Druid,Balance,Tiger Thwap! (Unknown),8207338.8459077,171910,729,Ravencrest,Deception,Diamantine Voidcore,Araz's Ritual Forge,pgcqWmJkMQBf1ahA,1
18,Dtxdruid,Druid,Balance,Druid of the Claw,8199729.0790051,184659,729,Draenor,Indecisive,Araz's Ritual Forge,Diamantine Voidcore,kNGDYBaAPWRb3Cr4,9
19,Spasa,Druid,Balance,Unknown Cluster 4 (Unknown),8199612.3885473,176308,729,Kazzak,Vex Thal,Araz's Ritual Forge,Diamantine Voidcore,MWavyAK97p6DL2Xj,1
20,Carismatic,Druid,Balance,Tiger Thwap! (Unknown),8194798.976728,189197,729,Blackmoore,Innervision,Astral Antenna,Araz's Ritual Forge,g6mZ4QzdhW8ay3Av,2
21,Billibobs,Druid,Balance,Tiger Thwap! (Unknown),8193305.7738464,185405,728,Kazzak,Noctis,Araz's Ritual Forge,Diamantine Voidcore,ZvAJtaKHF6czPM8T,4
22,Stéézkä,Druid,Balance,Druid of the Claw,8163613.6366812,143114,729,Silvermoon,Санаторий,Diamantine Voidcore,Araz's Ritual Forge,CzjWarTyb1JRPNHY,8
23,Turtlehuntt,Hunter,BeastMastery,Dark Ranger,8156626.6786723,337618,729,Kazzak,Project,Unyielding Netherprism,Astral Antenna,bkf6JVBdgxZnNzPX,4
24,Крипманиноф,Warlock,Destruction,Diabolist,8156390.6466174,143114,729,Ревущий фьорд,Гнев Анархии,Azhiccaran Parapodia,Diamantine Voidcore,CzjWarTyb1JRPNHY,8
25,Проксипанда,Hunter,Marksmanship,Dark Ranger,8155495.7346012,237258,729,Ревущий фьорд,Лё Резистанс,Unyielding Netherprism,Astral Antenna,MkDrhTKNG4wVqj8g,2
26,Moonflora,Druid,Balance,Druid of the Claw,8138562.5431657,178093,729,Tarren Mill,Revolution,Naazindhri's Mystic Lash,Araz's Ritual Forge,fgFmHZ2N6tbhacWP,1
27,Tasta,Druid,Balance,Unknown Cluster 4 (Unknown),8125183.2166034,178903,729,Thrall,Pull bei Eins,Araz's Ritual Forge,Diamantine Voidcore,MCZvfA4QPybHJYLj,2
28,Oofkin,Druid,Balance,Tiger Thwap! (Unknown),8120704.7555251,185111,729,Ragnaros,Sabotage,Diamantine Voidcore,Araz's Ritual Forge,CTG67FYkmdNajK1H,2
29,Kitzuh,Druid,Balance,Druid of the Claw,8115267.5757078,182610,729,Tarren Mill,Mental Apocalypse,Araz's Ritual Forge,Diamantine Voidcore,JwCrtWX1V4kgfhbN,4
30,Hedwigjr,Druid,Balance,Tiger Thwap! (Unknown),8113343.1594443,163035,729,Kazzak,Advent,Araz's Ritual Forge,Diamantine Voidcore,pyTMXq4bwYxn8fCZ,5
31,Domidon,Hunter,BeastMastery,Dark Ranger,8105596.3841644,179267,729,Kazzak,Discoveries,Unyielding Netherprism,Araz's Ritual Forge,f27TGaB8y94jFqWv,3
32,Fenth,Druid,Balance,Druid of the Claw,8104052.0447269,190221,729,Ysondre,Waít for it,Araz's Ritual Forge,Diamantine Voidcore,JGgYmMBdnvpRxPKc,3
