rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
1,Jdawee,Shaman,Elemental,,13955530.682818,300168,729,Kazzak,Death Wish,Araz's Ritual Forge,Diamantine Voidcore,QdLv93t64ZrHRmfG,1
2,Hunterland,Hunter,Marksmanship,Dark Ranger,13859596.600725,300417,729,Kazzak,Vigilance,Unyielding Netherprism,Astral Antenna,VNm4QJnTFwqkDY1B,1
3,Anonymous,Hunter,Marksmanship,Dark Ranger,12914775.844222,292725,728,,,Unyielding Netherprism,Astral Antenna,a:jCXGmf6NrcZTgah8,2
4,Elejulego,Shaman,Elemental,,12892967.423174,268074,729,Argent Dawn,one last e-date,Araz's Ritual Forge,Diamantine Voidcore,gqYrL1pv9dBbWNAX,55
5,Trigèr,Monk,Windwalker,Conduit of the Celestials,12831487.359522,295954,729,Silvermoon,,Araz's Ritual Forge,Astral Antenna,73gXMDrNKwPJyAm9,56
6,Jdaweez,Shaman,Elemental,,12828680.567444,301422,724,Kazzak,Death Wish,Araz's Ritual Forge,Diamantine Voidcore,Tgktym2J1WHKzhC3,24
7,Kaellachfour,Hunter,Marksmanship,Dark Ranger,12822777.396969,305490,729,Draenor,Interstellar Bum Orcs,Unyielding Netherprism,Astral Antenna,pKZ1RmvVn7aQDMH3,19
8,Jdaweev,Shaman,Elemental,,12769312.74967,298894,725,Kazzak,Death Wish,Araz's Ritual Forge,Diamantine Voidcore,HR41VJhK7j9q6D3z,15
9,Ненехне,Hunter,Marksmanship,Dark Ranger,12767505.269085,294833,729,Гордунни,Дисбаланс,Unyielding Netherprism,Astral Antenna,fakV4NKQ7JZLxn69,10
10,Rivà,Monk,Windwalker,Poison-Drenched Armor (Unknown),12763668.104581,289076,729,Draenor,Husk at Crit,Astral Antenna,Unyielding Netherprism,DrCmXQV4BZPaHTA1,12
11,Anonymous,Hunter,Marksmanship,Dark Ranger,12713976.783637,300047,727,,,Unyielding Netherprism,Astral Antenna,a:wLXjYBnzTp6QyH72,104
12,Mavidrake,Mage,Arcane,Spellslinger,12691846.788579,287583,728,Kazzak,Ashen Dominion,Diamantine Voidcore,Azhiccaran Parapodia,7f2xrgh18wRkqHCP,54
13,Kaelacheight,Shaman,Elemental,,12640384.708446,303357,727,Draenor,Interstellar Bum Orcs,Araz's Ritual Forge,Diamantine Voidcore,QYvb9m3wXjrNFJdM,5
14,Jdaweer,Shaman,Elemental,,12616962.115612,289486,724,Kazzak,Death Wish,Araz's Ritual Forge,So'leah's Secret Technique,3QHaRtfbvkpDPMBq,8
15,Peki,DeathKnight,Frost,Rider of the Apocalypse,12589123.458961,312776,728,Blackrock,NonSense,Unyielding Netherprism,Astral Antenna,wYpkLRZJ6PxhT7An,3
16,Üz,Monk,Windwalker,Conduit of the Celestials,12548893.035234,292386,728,Draenor,,Astral Antenna,Araz's Ritual Forge,9fBPMapDqGxHCJRd,19
17,Anx,Hunter,Marksmanship,Dark Ranger,12520082.012283,354642,727,Dentarg,Powerplay,Unyielding Netherprism,Astral Antenna,nBkaDNHhrC4cLx2f,15
18,Антитян,DemonHunter,Havoc,Ring of Malice (Unknown),12484334.087956,325549,729,Ревущий фьорд,Проксима,Unyielding Netherprism,Astral Antenna,jpBcGfyrMgxvJZkD,26
19,Anonymous,Mage,Arcane,Spellslinger,12479192.969974,297979,719,,,Astral Antenna,Diamantine Voidcore,a:zjMBnpAgaVHRLNKQ,14
20,Jdaweec,Shaman,Elemental,,12475084.088368,279016,727,Kazzak,Death Wish,Araz's Ritual Forge,Diamantine Voidcore,TbpX4vKPgDQWNYZa,22
21,Rejusham,Shaman,Elemental,,12468177.893176,261702,729,Ragnaros,Revolutionist,Araz's Ritual Forge,Diamantine Voidcore,LxWFpfjm1BY8ZTMH,11
22,Macys,Monk,Windwalker,Poison-Drenched Armor (Unknown),12446934.865422,248332,729,Tarren Mill,The Gauntlet,Araz's Ritual Forge,Astral Antenna,DcZRWq2NjmwrHXM7,6
23,Jonewrld,Rogue,Subtlety,Deathstalker,12442317.437003,196754,729,Ravencrest,Northstar,Unyielding Netherprism,Araz's Ritual Forge,abAnHkWgY4wcMBJz,12
24,Rexfleuch,Warrior,Fury,Slayer,12399366.874657,454027,726,Archimonde,Mercenary of Azeroth,Eradicating Arcanocore,Astral Antenna,x981vwqLF3HrXtWc,8
25,Bobbirr,Hunter,BeastMastery,Dark Ranger,12391594.417442,202452,729,Twisting Nether,Salted,Unyielding Netherprism,Sigil of the Cosmic Hunt,brdAFqxH41ycJzkw,14
26,Dianaha,Hunter,Marksmanship,Dark Ranger,12305237.286008,318704,729,Ner’zhul,Golfe Fruits,Unyielding Netherprism,Astral Antenna,Wa2gJCjZNY71kHzD,11
27,Rimenouille,Hunter,Marksmanship,Dark Ranger,12279881.949632,216882,729,Hyjal,Nø Raid Buff,Unyielding Netherprism,Astral Antenna,FNJnxRckptKq6Md7,18
