rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
1,Robinwl,Warlock,Destruction,Diabolist,14453361.758412,395789,729,Blackhand,Northern Sky,Azhiccaran Parapodia,Diamantine Voidcore,WY4g2NHtJd8kzQV1,30
2,Шаттомгпт,Warlock,Destruction,Diabolist,14251095.272946,278736,729,Ревущий фьорд,Гнев Анархии,Diamantine Voidcore,Azhiccaran Parapodia,mnTx8zMwYayFRVcL,37
3,Рахманиноф,Warlock,Destruction,Diabolist,14056711.389989,278736,729,Ревущий фьорд,Гнев Анархии,Diamantine Voidcore,Azhiccaran Parapodia,mnTx8zMwYayFRVcL,37
4,Êdeñ,Mage,Fire,Spellslinger,13989487.283046,365457,729,Hyjal,Suspicion,Diamantine Voidcore,Azhiccaran Parapodia,L6Kgyt2AdcDMTQr8,80
5,Steezkå,Warlock,Destruction,Diabolist,13868233.908557,312806,729,Silvermoon,Санаторий,Azhiccaran Parapodia,Diamantine Voidcore,2YA4fhrvbRTqBLPx,2
6,Omglock,Warlock,Destruction,Diabolist,13813717.382059,402087,729,Doomhammer,,Azhiccaran Parapodia,Diamantine Voidcore,qN1bRtaWPX2zB4d9,40
7,Kiralock,Warlock,Destruction,Diabolist,13798908.840557,298126,729,Tarren Mill,Retired Extremely Bad,Azhiccaran Parapodia,Diamantine Voidcore,vZzgpykCVL6RMxKN,23
8,Poneybøy,Warlock,Destruction,Diabolist,13760336.233462,341709,729,Hyjal,Wave,Diamantine Voidcore,Azhiccaran Parapodia,RTqA8Vh2JLrdyzbg,6
9,Cezu,Warlock,Destruction,Diabolist,13760295.697869,244530,729,Kazzak,Discoveries,Azhiccaran Parapodia,Diamantine Voidcore,FnctavgWzYLrkbxZ,31
10,Firekatsix,Warlock,Destruction,Diabolist,13755137.280326,288439,729,Twisting Nether,Method,Astral Antenna,Azhiccaran Parapodia,GPJcKwzQ7fLp2FbN,36
11,Loonystorm,Warlock,Destruction,Diabolist,13722226.660047,231620,729,Draenor,Honolulu,Diamantine Voidcore,Azhiccaran Parapodia,y6mhTWc7FDLpja3J,37
12,Шаттомвл,Warlock,Destruction,Diabolist,13661778.540896,286107,729,Ревущий фьорд,Гнев Анархии,Azhiccaran Parapodia,Diamantine Voidcore,ZA2VrgRBXdyw8mkn,29
13,Крипманиноф,Warlock,Destruction,Diabolist,13651944.87887,292084,729,Ревущий фьорд,Гнев Анархии,Azhiccaran Parapodia,Diamantine Voidcore,zajCckYr6bNAwxnD,27
14,Raslxd,Warlock,Destruction,Diabolist,13611210.888162,303706,729,Kazzak,Banhammer,Azhiccaran Parapodia,Diamantine Voidcore,4hNGVfd3rg2FnacK,6
15,Hoovk,Warlock,Destruction,Diabolist,13572044.753779,291953,729,Kazzak,Fragglene,Azhiccaran Parapodia,Diamantine Voidcore,q8Byc7bMw9XdDJQx,28
16,Apollon,Mage,Fire,Spellslinger,13570603.088417,288044,729,Pozzo dell'Eternità,Beware of Yeti,Azhiccaran Parapodia,Diamantine Voidcore,dTXmZ817f4NW3GK6,44
17,Трахманиноф,Warlock,Destruction,Diabolist,13426445.510157,305690,729,Ревущий фьорд,Гнев Анархии,Diamantine Voidcore,Astral Antenna,wWt4afD9yNvpjJcR,33
18,Шаттом,Warlock,Destruction,Diabolist,13423198.3013,300936,729,Ревущий фьорд,Гнев Анархии,Diamantine Voidcore,Azhiccaran Parapodia,rXW3H9kv8q1Rf2QC,35
19,Aimscumshot,Hunter,Marksmanship,Dark Ranger,13389233.273645,319436,728,Kazzak,,Astral Antenna,Unyielding Netherprism,Hmd3p6ZB2GMPRQAz,40
20,Элслэйерх,DeathKnight,Frost,Rider of the Apocalypse,13361863.374047,294578,729,Ревущий фьорд,Гнев Анархии,Unyielding Netherprism,Astral Antenna,FWhXY3KGvpatAQfL,31
21,Katosortmagi,Warlock,Destruction,Diabolist,13313943.656253,283208,729,Tarren Mill,Revoke,Diamantine Voidcore,Azhiccaran Parapodia,btca1F7r9BLDdJTC,31
22,Kkhunter,Hunter,Marksmanship,Dark Ranger,13284113.89722,308076,729,Tarren Mill,Ad Elysium,Unyielding Netherprism,Astral Antenna,9d3RmxTQpJbBVX16,28
23,Firekathree,Warlock,Destruction,Diabolist,13271919.673401,322720,727,Twisting Nether,Method,Azhiccaran Parapodia,Diamantine Voidcore,YaFw89ANVthxQjRp,30
24,Bonkw,Warlock,Destruction,Diabolist,13269325.594832,418858,729,Tarren Mill,,Azhiccaran Parapodia,Diamantine Voidcore,vgLpFnQC7xjHVmMK,32
25,Трикснанолль,Mage,Fire,Spellslinger,13267531.441588,294578,729,Ревущий фьорд,Гнев Анархии,Azhiccaran Parapodia,Diamantine Voidcore,FWhXY3KGvpatAQfL,31
26,Grebet,Hunter,Marksmanship,Dark Ranger,13258190.540669,293932,729,Twisting Nether,Revolutionist,Astral Antenna,Unyielding Netherprism,pz4A37HdT1CvPDYh,32
27,Жатецкийкусь,Hunter,Marksmanship,Dark Ranger,13253088.822835,303458,729,Ревущий фьорд,,Unyielding Netherprism,Sigil of the Cosmic Hunt,d7RJTnFtbV1aNzhp,12
28,Шаттомбро,Warlock,Destruction,Diabolist,13251964.393677,297391,729,Ревущий фьорд,Гнев Анархии,Azhiccaran Parapodia,Diamantine Voidcore,pVZbQDgNyhwd1tWr,80
29,Locknbonk,Warlock,Destruction,Diabolist,13244324.964014,364028,729,Tarren Mill,,Azhiccaran Parapodia,Diamantine Voidcore,dLtrD1n9YyQVvWkm,31
30,Biasmagus,Mage,Arcane,Spellslinger,13238754.849644,286155,729,Tarren Mill,Mental Apocalypse,Astral Antenna,Diamantine Voidcore,M89T1j4rgFCnwZQb,23
31,Manfredini,Warlock,Destruction,Diabolist,13227066.897006,270326,729,Tarren Mill,Hatewatching,Azhiccaran Parapodia,Diamantine Voidcore,xYtM2cNbC8VpXvFj,37
32,Nevermøve,Warlock,Destruction,Diabolist,13210484.495056,272139,729,Draenor,Pure,Astral Antenna,Diamantine Voidcore,nVxHhTNYz697pR3t,33
33,Augmentfluup,Evoker,Augmentation,Scalecommander,13195432.55193,256931,729,Tarren Mill,Hatewatching,Diamantine Voidcore,Lily of the Eternal Weave,zRfnWVmGbwLXk9Za,52
34,Даняауг,Evoker,Augmentation,Chronowarden,13194593.418868,230082,729,Ревущий фьорд,Гнев Анархии,Astral Antenna,Araz's Ritual Forge,zJvWKQAnZ2cHRMf6,39
35,Mythvoker,Evoker,Devastation,Chronowarden,13187785.892167,329675,729,Kazzak,Noctis,Araz's Ritual Forge,Astral Antenna,2dtDaPMnzN491jh6,32
36,Шаттомпро,Warlock,Destruction,Diabolist,13164976.188295,305690,729,Ревущий фьорд,Гнев Анархии,Azhiccaran Parapodia,Diamantine Voidcore,wWt4afD9yNvpjJcR,33
37,Xsychtb,Warlock,Destruction,Diabolist,13157546.131784,293572,729,Drak'thul,Exposed,Azhiccaran Parapodia,Diamantine Voidcore,RvjT6ZfGhLHWJYXV,32
38,Buszyywl,Warlock,Destruction,Diabolist,13154696.526489,285043,729,Eredar,Most Hated,Astral Antenna,Azhiccaran Parapodia,wHqn24jQYKF3kzN6,34
