rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
1,Beastsong,Hunter,Marksmanship,Dark Ranger,9564045.0844155,513908,729,Illidan,Style,Unyielding Netherprism,Astral Antenna,PByDKqcVGtR2NQbY,1
2,Drae,Shaman,Elemental,,9252636.0596818,473164,729,Moon Guard,Personality Hires,Araz's Ritual Forge,Diamantine Voidcore,wLVkXDzMatGR7AJb,10
3,Fachadee,Shaman,Elemental,,9251575.1818266,474439,729,Illidan,Unicorn Seven,Diamantine Voidcore,Araz's Ritual Forge,439yPgm6nR8GjxYb,23
4,Yxm,Mage,Arcane,Spellslinger,9130671.5909985,525387,729,Tichondrius,Nerd Rage,Diamantine Voidcore,Astral Antenna,mGQn8jJWTz9X7Lgq,36
5,Garnetqq,Hunter,BeastMastery,Dark Ranger,9084330.7951941,494936,729,Area 52,Vibrant,Araz's Ritual Forge,Unyielding Netherprism,7Rzn2CXvfJWZNHya,23
6,Darlaiika,Shaman,Elemental,,9076996.2106031,486415,729,Frostmourne,Miracle,Araz's Ritual Forge,Diamantine Voidcore,8fbQ9Wkt73yLnAcz,11
7,Ardnan,Shaman,Elemental,,9057733.581816,490096,729,Frostmourne,so fresh,Araz's Ritual Forge,Diamantine Voidcore,zBTJ3ZCNX46aDAMn,27
8,Nety,Hunter,Marksmanship,Dark Ranger,8992240.1613029,489846,729,Nagrand,Set Sail For Fail,Astral Antenna,Unyielding Netherprism,ydFV8JDBtT2RnPkr,14
9,Survi,Hunter,BeastMastery,Dark Ranger,8988916.742679,487722,729,Stormrage,Parse Envy,Unyielding Netherprism,Araz's Ritual Forge,gH7XTAbdQwjnDarz,33
10,Mimi,Hunter,BeastMastery,Dark Ranger,8968799.4063015,560605,729,Malygos,Denial of Service,Unyielding Netherprism,Araz's Ritual Forge,wnPKgDLyjaW6MAxh,23
11,Appledks,DeathKnight,Frost,Rider of the Apocalypse,8943926.4819158,505997,729,Illidan,HHM,Unyielding Netherprism,Astral Antenna,HRbn8vN9tDVGLh6Q,24
12,Adrodecay,DeathKnight,Frost,Rider of the Apocalypse,8914963.1404402,526068,729,Area 52,Valyrian,Astral Antenna,Unyielding Netherprism,qrFGzt2cZvjQ6PTh,25
13,Beanbøy,Shaman,Elemental,,8913849.9531444,497397,729,Illidan,Mass Darkness,Araz's Ritual Forge,Azhiccaran Parapodia,Z67RYXdGhcMQVrt3,1
14,Sonofgarry,Shaman,Elemental,,8910063.2731649,520699,729,Area 52,Idiot,Araz's Ritual Forge,Diamantine Voidcore,tpnGQbjMr13Vk6HN,1
15,Palsham,Shaman,Elemental,,8898647.3170115,460403,729,Frostmourne,Barbershop Quartet,Diamantine Voidcore,Araz's Ritual Forge,kgct9BHMzVvRGXfm,37
16,Búddy,DeathKnight,Frost,Deathbringer,8892503.8115038,544867,729,Zul'jin,FwF,Astral Antenna,Unyielding Netherprism,9vX7fzJmcY8MPKpH,5
17,Jrhunttwo,Hunter,BeastMastery,Dark Ranger,8872739.3238593,486333,729,Illidan,get help,Araz's Ritual Forge,Unyielding Netherprism,18vtVqFxGkL29nWT,50
18,Blueprínt,Evoker,Devastation,,8870175.2500036,515559,729,Frostmourne,Honestly,Araz's Ritual Forge,Diamantine Voidcore,q8CN6apFGxvwKk1r,57
19,Aydan,DeathKnight,Frost,Rider of the Apocalypse,8869474.6280585,550735,729,Lothar,poptart corndoG,Unyielding Netherprism,Astral Antenna,pyDr61HkxfJFZdhj,10
20,Tootèr,Hunter,BeastMastery,Dark Ranger,8860619.8592283,523048,729,Thrall,Team Mini,Unyielding Netherprism,Improvised Seaforium Pacemaker,XMnfc6DYqT9dazQt,9
21,Sixsnot,Hunter,BeastMastery,Dark Ranger,8831054.8579174,471760,729,Area 52,Death Star Architect,Unyielding Netherprism,Ara-Kara Sacbrood,GgDABcpXYH2aZzn3,10
22,Lizziting,Hunter,BeastMastery,Dark Ranger,8824797.478371,471610,729,Illidan,Outer Wilds,Unyielding Netherprism,Improvised Seaforium Pacemaker,6HZ7pLr4vw3KQJqc,2
23,Delliele,Shaman,Elemental,,8801623.5733784,453514,729,Thrall,Speak,Araz's Ritual Forge,Diamantine Voidcore,QCwWB7YdnJarLgND,22
24,Zearah,Hunter,BeastMastery,Dark Ranger,8781862.8094913,455675,729,Thrall,Speak,Unyielding Netherprism,Improvised Seaforium Pacemaker,hVDcJRW9qxQGy386,25
25,Crazywallaby,Hunter,BeastMastery,Dark Ranger,8757654.1374494,517753,729,Frostmourne,No Dice,Araz's Ritual Forge,Unyielding Netherprism,KfdMyAYjp2qQXn1z,15
26,Vpádly,DeathKnight,Frost,Rider of the Apocalypse,8756561.3622363,571075,729,Illidan,Trust me DUde,Unyielding Netherprism,Araz's Ritual Forge,RvDPxCfw8kYyXQBN,37
27,Arkilytë,Hunter,Marksmanship,Dark Ranger,8756548.0756979,552856,729,Burning Blade,Fluff and Blood,Astral Antenna,Unyielding Netherprism,Y6x4GXbdQ3w1BfjW,46
28,Virnn,Shaman,Elemental,,8751988.3030059,481014,729,Area 52,Unprotected Hex,Diamantine Voidcore,Araz's Ritual Forge,A3dbaT1vHPfRywpt,23
29,Hoponpoe,Hunter,BeastMastery,Dark Ranger,8751776.1172235,472164,729,Frostmourne,Honestly,Araz's Ritual Forge,Unyielding Netherprism,DhWc9GdkVJm6tnRy,40
30,Skillydk,DeathKnight,Frost,Rider of the Apocalypse,8750362.5548338,508913,729,Area 52,Idiot,Unyielding Netherprism,Araz's Ritual Forge,3fyTtNY49zkWJFjX,28
31,Coffee,DeathKnight,Frost,Rider of the Apocalypse,8743946.3657037,460469,729,Frostmourne,Barbershop Quartet,Astral Antenna,Unyielding Netherprism,NBvWRztmYbAgxnMK,26
32,Yogs,Mage,Arcane,Spellslinger,8732709.4310682,497933,729,Proudmoore,C l u t c h,Diamantine Voidcore,Astral Antenna,3Wk76yPLz81NRVdc,16
33,Lencely,Mage,Arcane,Spellslinger,8730651.605796,469578,729,Area 52,Reckless Ambition,Diamantine Voidcore,Azhiccaran Parapodia,MwvmQFPZn32r48JW,21
34,Lachevre,Shaman,Elemental,,8719097.4977866,483507,729,Stormrage,Dinosaur Dollars,Araz's Ritual Forge,Diamantine Voidcore,BCq8nK1Zt7HbcNh3,4
35,Musc,DeathKnight,Frost,Rider of the Apocalypse,8713453.169288,465676,729,Frostmourne,Entropy,Astral Antenna,Unyielding Netherprism,fQ6qg4GYCcHm18zL,51
36,Swiftyclouds,Shaman,Elemental,,8706023.2089386,476961,729,Moon Guard,Edict,Araz's Ritual Forge,Diamantine Voidcore,VHZPCpJXDAkgMQ1b,10
37,Snittay,Hunter,BeastMastery,Dark Ranger,8699391.7169695,498778,728,Frostmourne,Communication Issues,Araz's Ritual Forge,Unyielding Netherprism,wf6nFCMqLBxjZg8d,7
38,Drif,Mage,Arcane,Spellslinger,8687791.7064889,525038,729,Mal'Ganis,Dsylxeic,Astral Antenna,Diamantine Voidcore,yFwjp4P1gdmYvMZt,7
39,Felshock,Shaman,Elemental,,8681416.6666667,488727,729,Mal'Ganis,No Fox Given,Araz's Ritual Forge,Diamantine Voidcore,yfrgANYWk1xbR9Tp,32
40,Pod,Paladin,Retribution,,8678030.2134185,488822,729,Proudmoore,TRK,Araz's Ritual Forge,Astral Antenna,kLT4HZwJgytChYRn,2
41,Dkbagally,DeathKnight,Frost,Rider of the Apocalypse,8677233.7982733,526670,729,Stormrage,Hollow Purple,Unyielding Netherprism,Astral Antenna,H9bJVKf7zwQyv2RT,24
42,Shamanisbadx,Shaman,Elemental,,8676436.9244512,545282,729,Zul'jin,vodka,Araz's Ritual Forge,Diamantine Voidcore,8BWTFMGaVvLJyd2m,12
43,Crowp,Priest,Shadow,Voidweaver,8674987.5508745,470403,729,Illidan,Slurp Squad,Araz's Ritual Forge,Diamantine Voidcore,mXPMDd1BLKZa7rqh,37
44,Quickquaker,Shaman,Elemental,,8672776.2493923,483248,729,Bleeding Hollow,Tabbed Out - Weekday,Diamantine Voidcore,Araz's Ritual Forge,kd16BQgGFntp8LwT,25
45,Ppddk,DeathKnight,Frost,Rider of the Apocalypse,8671681.6433962,484345,729,Mal'Ganis,Seems Good,Unyielding Netherprism,Astral Antenna,Nmh3PAJ6kzYKGb2D,22
46,Hosmershock,Shaman,Elemental,,8670576.9403685,514708,729,Thrall,smoothbrains,Araz's Ritual Forge,Diamantine Voidcore,4CKwdjxrgGNY9hMR,10
47,Lailalaodi,Shaman,Elemental,,8668416.5173141,531317,729,Illidan,Style,Araz's Ritual Forge,Diamantine Voidcore,rma3QFLBjqRhgzpT,4
48,Sendostbh,Rogue,Assassination,Deathstalker,8665514.0308649,499702,729,Tichondrius,Vibrant,Unyielding Netherprism,Astral Antenna,VF46xd19nqXTJp3b,10
49,Minamage,Mage,Arcane,Spellslinger,8662997.8833567,500406,729,Illidan,Squirrel Squad,Astral Antenna,Diamantine Voidcore,Jp73ZwqzGLmyh9Dt,30
50,Josan,Hunter,BeastMastery,Dark Ranger,8647263.0624356,515670,728,Frostmourne,Indonesia,Ara-Kara Sacbrood,Unyielding Netherprism,W8nmhZv9LJrQKDA1,19
51,Zestysham,Shaman,Elemental,,8646860.4937605,466234,729,Area 52,Divide,Araz's Ritual Forge,Diamantine Voidcore,LW8yntK9MVXk7PJ2,52
52,Oggyh,Hunter,BeastMastery,Dark Ranger,8645416.3623491,533541,729,Zul'jin,vodka,Unyielding Netherprism,Astral Antenna,HPGVCWNa7xZcJrmL,6
53,Shamanly,Shaman,Elemental,,8641789.886489,535034,728,Mal'Ganis,Children,Araz's Ritual Forge,Diamantine Voidcore,KZVzjw3N8Cc6YLtn,13
54,Mudwuffstar,Warrior,Fury,Slayer,8625881.2865831,494442,729,Frostmourne,Restricted,Eradicating Arcanocore,Screams of a Forgotten Sky,NwCFLDT1VzMgtHbc,13
55,Gayprint,Rogue,Subtlety,Deathstalker,8624148.1904005,535692,729,Frostmourne,Honestly,Araz's Ritual Forge,Unyielding Netherprism,AnVBXaFPLHx61j2q,42
56,Kmxdks,DeathKnight,Frost,Rider of the Apocalypse,8616026.4570486,509993,729,Area 52,Artistic,Astral Antenna,Unyielding Netherprism,zPWxHCFKAD3pw8B7,17
