rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
1,Aerr,Warlock,Destruction,Diabolist,10950815.414217,254142,729,Zul'jin,Unrivaled,Diamantine Voidcore,Azhiccaran Parapodia,VMyDrZxfNLwpRaPA,26
2,Magnit,Warlock,Destruction,Diabolist,10786730.412402,231958,729,Area 52,Fun Detected,Astral Antenna,Diamantine Voidcore,mWb8V6HXpZjvyJRc,28
3,Colespriest,Mage,Arcane,Spellslinger,10617985.727146,253278,729,Area 52,Pool Noodle Pirates,Azhiccaran Parapodia,Diamantine Voidcore,h7Q4Jzq3P6c9gmFR,52
4,Odbabymage,Mage,Arcane,Spellslinger,10555134.916352,255714,729,Emerald Dream,Nascent Team 8,Azhiccaran Parapodia,Diamantine Voidcore,HfgQMdwKj6TkZRJ7,50
5,Quercustab,Rogue,Subtlety,Deathstalker,10506958.337606,243817,729,Area 52,Children,Araz's Ritual Forge,Unyielding Netherprism,bgLkaDB6mNv3KJFt,50
6,Khanbust,Mage,Arcane,Spellslinger,10492929.095433,248362,729,Illidan,Dead On My Screen,Diamantine Voidcore,Astral Antenna,L7xcXmMfyANz1QtC,32
7,Robozo,Priest,Shadow,Archon,10454993.948873,409180,729,Area 52,Mid,Araz's Ritual Forge,Diamantine Voidcore,TGCFdzA3X8Kqg1Rj,41
8,Dianox,Priest,Shadow,Archon,10408779.622192,231811,729,Area 52,Fun Detected,Diamantine Voidcore,Araz's Ritual Forge,82vMd4kbYPzJmAgH,62
9,Recruitie,Druid,Balance,Tiger Thwap! (Unknown),10347071.600293,248742,729,Illidan,Shade,Diamantine Voidcore,Araz's Ritual Forge,yjth9LJRGXQxHrZ3,23
10,Mishay,Hunter,Marksmanship,Dark Ranger,10343950.56903,252008,729,Illidan,,Astral Antenna,Unyielding Netherprism,vcQd3MJZrtV8WKhz,26
11,Ukiyoace,Warlock,Destruction,Diabolist,10288785.113461,320155,728,Illidan,,Diamantine Voidcore,Astral Antenna,XMJvWK9NDmctV7bA,33
12,Fiskieslip,Shaman,Elemental,,10274152.908068,255840,729,Area 52,Leviathan - Kraken,Araz's Ritual Forge,Diamantine Voidcore,9ZwJFK1cG8Qjf4vB,22
13,Eppzy,Mage,Arcane,Spellslinger,10261037.257359,268967,729,Frostmourne,Crimson,Azhiccaran Parapodia,Diamantine Voidcore,n6cR2FyCJbrZjGKN,19
14,Tacofajita,Warlock,Destruction,Diabolist,10251030.532749,247734,729,Kil'jaeden,grr woof woof bark,Azhiccaran Parapodia,Diamantine Voidcore,L6znTwGxYyhFKmZN,22
15,Bryon,Warlock,Destruction,Hellcaller,10228886.425085,172723,729,Frostmourne,Honestly,Diamantine Voidcore,Azhiccaran Parapodia,2VtyDR4CF6PGLjbd,42
16,Babybrian,Warlock,Destruction,Diabolist,10218163.139669,246905,728,Zul'jin,Idiot,Diamantine Voidcore,Azhiccaran Parapodia,3fyTtNY49zkWJFjX,52
17,Liasia,Priest,Shadow,Archon,10205483.324675,415764,729,Illidan,Intent,Araz's Ritual Forge,Diamantine Voidcore,vW4cZL6tm1VpJRQP,27
18,Zorthargirl,Shaman,Elemental,,10192170.520422,272894,729,Frostmourne,Honestly,Astral Antenna,Araz's Ritual Forge,z72yR6Wv3AV8fB1Q,28
19,Fish,Priest,Shadow,Archon,10163831.743858,251236,729,Kul Tiras,Mid Team,Araz's Ritual Forge,Diamantine Voidcore,TGMCbX1ytaPVZmg7,36
