rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
1,Itsdnl,Hunter,BeastMastery,Dark Ranger,9331006.1771618,208510,729,Area 52,Fierce,Unyielding Netherprism,Araz's Ritual Forge,BH2dkaJqpxYh8Ac9,18
2,Hikajaru,Hunter,BeastMastery,Dark Ranger,8707952.2607211,210309,728,Tichondrius,Tab Target,Unyielding Netherprism,Araz's Ritual Forge,MQax12cRYALnFfT3,32
3,Locochicken,Druid,Balance,Unknown Cluster 4 (Unknown),8653545.5997816,197797,729,Area 52,sup breh,Araz's Ritual Forge,Diamantine Voidcore,8rDAZ9H3jKJVwmkc,46
4,Hordeforsure,Hunter,BeastMastery,Dark Ranger,8624446.0254597,212100,729,Altar of Storms,Notion,Araz's Ritual Forge,Unyielding Netherprism,MDKNy2CJTLzAmwrf,42
5,Thota,Druid,Balance,Druid of the Claw,8623978.0103435,204960,729,Mal'Ganis,nVus,Diamantine Voidcore,Araz's Ritual Forge,Jt1WM4Njrb2vxPBT,40
6,Twentytoes,Hunter,Marksmanship,Dark Ranger,8616842.0218936,205174,729,Proudmoore,Valkyrie,Astral Antenna,Unyielding Netherprism,gnd6hPFXHrtqK1Rk,27
7,Wallbears,Hunter,Marksmanship,Dark Ranger,8568178.8034078,217384,728,Darrowmere,Adequate,Unyielding Netherprism,Astral Antenna,pXMfKGg1mrabhPkC,16
8,Arqent,Hunter,Marksmanship,Dark Ranger,8559094.0842128,212533,729,Area 52,just sit me,Astral Antenna,Unyielding Netherprism,APKQD6xw3fVg7Mrz,25
9,Permuted,Druid,Balance,Druid of the Claw,8526652.0378492,189489,729,Tichondrius,Reforged,Araz's Ritual Forge,Diamantine Voidcore,2pVvcQBTWjRq8kKn,25
10,Mcadamsd,Druid,Balance,Druid of the Claw,8498171.2316746,193720,729,Illidan,Shade,Araz's Ritual Forge,Astral Antenna,ktYHzZxW3rq6jcKf,30
11,Arealnut,Druid,Balance,Druid of the Claw,8489348.1280607,189910,729,Stormrage,Vibrant,Araz's Ritual Forge,Diamantine Voidcore,QgyMNVpJC2AvqjRf,40
12,Dwilkz,Druid,Balance,Druid of the Claw,8449208.9249189,199957,729,Zul'jin,Refined,Araz's Ritual Forge,Diamantine Voidcore,Y7z1FqQanPD3NyCm,41
13,Xyroleaf,Shaman,Elemental,,8430074.8075926,206463,729,Mal'Ganis,velocity,Araz's Ritual Forge,Diamantine Voidcore,TLQPbynFmAMtpqRk,54
14,Drae,Shaman,Elemental,,8423191.0937647,212660,729,Moon Guard,Personality Hires,Araz's Ritual Forge,Diamantine Voidcore,aZAg3FQHTkCnNMr6,47
15,Dakd,Druid,Balance,Tiger Thwap! (Unknown),8419686.150428,222339,729,Illidan,Shade,Araz's Ritual Forge,Diamantine Voidcore,PYWtkKzAvw1ZDjLd,33
16,Scalyskin,Druid,Balance,Tiger Thwap! (Unknown),8413426.3530679,189329,729,Frostmourne,Copium,Astral Antenna,Araz's Ritual Forge,NTn7aLxFrKRt84p2,29
17,Gorelul,Druid,Balance,Druid of the Claw,8378835.1073322,156896,729,Frostmourne,Honestly,Araz's Ritual Forge,Diamantine Voidcore,2VtyDR4CF6PGLjbd,51
18,Iridiumboomy,Druid,Balance,Tiger Thwap! (Unknown),8368971.2790575,198357,729,Area 52,Dead On My Screen,Diamantine Voidcore,Araz's Ritual Forge,JLxtXKPqATmbkgnH,8
19,Myellyn,Hunter,Marksmanship,Dark Ranger,8368126.5883811,203273,729,Zul'jin,Warpath,Unyielding Netherprism,Astral Antenna,VR1rgX7MAtT8y9Yd,27
20,Noctuss,Druid,Balance,Druid of the Claw,8362471.0549666,194973,729,Mal'Ganis,velocity,Araz's Ritual Forge,Diamantine Voidcore,mcwkM6VnPdH1BYWr,31
21,Jpf,Druid,Feral,Druid of the Claw,8353217.236341,208745,729,Tichondrius,no keybinds,Araz's Ritual Forge,Improvised Seaforium Pacemaker,cAaCTNjZfB16rgVM,4
22,Tweedhunter,Hunter,BeastMastery,Dark Ranger,8347766.0600714,210849,729,Mal'Ganis,Awakeníng,Araz's Ritual Forge,Unyielding Netherprism,fbvQF6xWRdmZ2aCJ,49
23,Ardnan,Shaman,Elemental,,8334526.6203426,208243,729,Frostmourne,so fresh,Araz's Ritual Forge,Diamantine Voidcore,ckH3ZD7qxzt4Ca6d,40
24,Misteln,Hunter,BeastMastery,Dark Ranger,8331056.3881767,206710,729,Illidan,Squirrel Squad HOF,Araz's Ritual Forge,Unyielding Netherprism,YGmWVP9ZfrJqF8L4,38
25,Fiskieslip,Shaman,Elemental,,8302975.5420699,212242,729,Area 52,Leviathan - Kraken,Araz's Ritual Forge,Diamantine Voidcore,pkb2Fqnm6rfa3JXY,32
26,Mambae,Hunter,Marksmanship,Dark Ranger,8300818.5823549,214031,728,Frostmourne,The Full Stick,Astral Antenna,Unyielding Netherprism,fQ47LaTq28DVnwH6,24
27,Zorthar,Shaman,Elemental,,8291280.5095383,208738,729,Frostmourne,Honestly,Diamantine Voidcore,Araz's Ritual Forge,nzkJwyVpWvtZbL4x,36
28,Hosemi,Shaman,Elemental,,8286607.5376572,209057,728,Area 52,limes,Araz's Ritual Forge,Diamantine Voidcore,3DFJ41qbWRfPnmLa,30
29,Hwilkz,Hunter,BeastMastery,Dark Ranger,8278236.7279781,196918,729,Illidan,Refined,Unyielding Netherprism,Araz's Ritual Forge,FG2bwv3YQ9nJc8qj,33
30,Elecat,Shaman,Elemental,,8278158.8864686,208885,729,Sargeras,Raid Awareness,Diamantine Voidcore,Araz's Ritual Forge,X1gLpxaB6h7VAJnW,42
31,ßràíñrøt,Druid,Balance,Druid of the Claw,8262276.855267,196023,729,Frostmourne,Barbershop Quartet,Araz's Ritual Forge,Astral Antenna,6Dz1FKgXAqJMtxNL,24
32,Shg,Druid,Balance,Druid of the Claw,8255175.9218729,198753,729,Frostmourne,Honestly,Diamantine Voidcore,Araz's Ritual Forge,QxBR34kfjAMDW1mY,39
33,Blueprínt,Evoker,Devastation,Chronowarden,8253406.9192331,156896,729,Frostmourne,Honestly,Araz's Ritual Forge,Astral Antenna,2VtyDR4CF6PGLjbd,51
34,Zearah,Hunter,BeastMastery,Dark Ranger,8248844.4730759,207231,729,Thrall,Speak,Unyielding Netherprism,Astral Antenna,bWwdnxqA6QzXyZ9M,38
35,Xaim,Druid,Feral,Druid of the Claw,8245285.7802799,196987,729,Illidan,Midnights,Astral Antenna,Araz's Ritual Forge,dQrH4DGLXVt2Bkwm,28
36,Tasso,DeathKnight,Unholy,Rider of the Apocalypse,8234563.7441881,213141,729,Frostmourne,Da Bishes,Cursed Stone Idol,Astral Antenna,pzgTMALZ7WnhY91R,30
37,Finesthour,DeathKnight,Unholy,Rider of the Apocalypse,8231708.3959113,199085,729,Icecrown,Vindicatum,Cursed Stone Idol,Astral Antenna,bGx962rajPgdCf1F,42
38,Chickenism,Druid,Balance,Druid of the Claw,8218103.6693256,206850,729,Icecrown,Vindicatum,Araz's Ritual Forge,Diamantine Voidcore,HzBMpgXdZ8CxNhG6,19
39,Coop,Shaman,Elemental,,8214534.966634,203351,729,Illidan,Warpath,Araz's Ritual Forge,Astral Antenna,1ZwHcCkBN7fQdJgx,29
40,Deja,Druid,Balance,Unknown Cluster 4 (Unknown),8211291.3048464,191854,729,Frostmourne,Cope,Araz's Ritual Forge,Diamantine Voidcore,NqQpx8mdPZVwhb4j,43
