rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
1,Palsham,Shaman,Elemental,,9964762.0104289,226678,729,Frostmourne,Barbershop Quartet,Astral Antenna,Araz's Ritual Forge,JgPnxAvXaqtQwCT1,17
2,Zorthargirl,Shaman,Elemental,,9952183.8408997,210383,729,Frostmourne,Honestly,Astral Antenna,Araz's Ritual Forge,TW98rLh2pFZjRAqJ,19
3,Rumpa,Hunter,BeastMastery,Dark Ranger,9770695.9670377,215276,729,Zul'jin,Wing It,Araz's Ritual Forge,Unyielding Netherprism,9qgX4pk6TR7FGnNJ,21
4,Wesquire,Hunter,BeastMastery,Dark Ranger,9761739.2387136,292321,729,Area 52,Parse Envy,Unyielding Netherprism,Improvised Seaforium Pacemaker,HgmM4NzpDnwdvYXT,8
5,Jett,Hunter,BeastMastery,Dark Ranger,9755975.4360619,245034,729,Frostmourne,Medium,Improvised Seaforium Pacemaker,Unyielding Netherprism,pnFQZ2LdmfYJVrR4,4
6,Dakd,Druid,Balance,Tiger Thwap! (Unknown),9753932.8056639,215539,729,Illidan,Shade,Araz's Ritual Forge,Diamantine Voidcore,YN7ybkfAw9R2xZtP,17
7,Zorthar,Shaman,Elemental,,9698808.8784986,231413,729,Frostmourne,Honestly,Diamantine Voidcore,Araz's Ritual Forge,4PC6jMgDVyqpaNrA,17
8,Arkilytë,Hunter,Marksmanship,Dark Ranger,9627401.8575745,232346,729,Burning Blade,Fluff and Blood,Astral Antenna,Unyielding Netherprism,vHcLKjA1wazq4fVW,15
9,Austinggez,Hunter,BeastMastery,Dark Ranger,9625086.7872681,200882,729,Zul'jin,Refined,Araz's Ritual Forge,Unyielding Netherprism,HhvAGmCrFJWy8qVf,8
10,Temprwl,Warlock,Destruction,Diabolist,9537529.0831895,212683,729,Illidan,Vibrant,Diamantine Voidcore,Azhiccaran Parapodia,WLRhcd7jQyHf84nK,22
11,Netrol,Hunter,BeastMastery,Dark Ranger,9493022.2132791,278302,729,Area 52,,Araz's Ritual Forge,Unyielding Netherprism,ZwYCqvL4W71ydjnT,12
12,Kale,Hunter,BeastMastery,Dark Ranger,9476937.6376025,210752,729,Frostmourne,Cope,Unyielding Netherprism,Astral Antenna,jvRVfM7T2cxYbPCN,15
13,Recruitie,Druid,Balance,Druid of the Claw,9439051.3224985,215539,729,Illidan,Shade,Diamantine Voidcore,Araz's Ritual Forge,YN7ybkfAw9R2xZtP,17
14,Damastius,Shaman,Elemental,,9410874.5012557,211030,729,Frostmourne,Copium,Araz's Ritual Forge,Diamantine Voidcore,CkTDbBFRcpqfxHLP,21
15,Jxkey,Hunter,BeastMastery,Dark Ranger,9377062.4850174,266976,727,Frostmourne,Entropy,Unyielding Netherprism,Araz's Ritual Forge,f4pxZqJwMhLKAFXT,14
16,Boomhunt,Hunter,BeastMastery,Dark Ranger,9348980.684119,223236,729,Mal'Ganis,Pathogen,Araz's Ritual Forge,Unyielding Netherprism,qayYtNp1J3djczwB,17
17,Hoponpoe,Hunter,BeastMastery,Dark Ranger,9342839.3832592,233226,729,Frostmourne,Honestly,Araz's Ritual Forge,Unyielding Netherprism,yKzrgB1Fnw8kXv9N,34
18,Dreamx,Mage,Arcane,Spellslinger,9328895.5177485,215539,729,Illidan,Shade,Diamantine Voidcore,Astral Antenna,YN7ybkfAw9R2xZtP,17
19,Fitshin,Hunter,BeastMastery,Dark Ranger,9311070.4066764,211372,729,Sargeras,comma,Araz's Ritual Forge,Unyielding Netherprism,Zf2g4w1H9XYLcbnF,18
20,Drae,Shaman,Elemental,,9280345.9067327,270041,729,Moon Guard,Personality Hires,Araz's Ritual Forge,Diamantine Voidcore,VHZPCpJXDAkgMQ1b,21
21,Hungnuts,Shaman,Elemental,,9264106.999852,263477,729,Sargeras,comma,Diamantine Voidcore,Lily of the Eternal Weave,Jm3abR8WNMHdCXZc,14
22,Padflash,Mage,Fire,Spellslinger,9216467.0274075,181848,729,Frostmourne,Honestly,Diamantine Voidcore,Azhiccaran Parapodia,Fa9jnQw318YRxNWf,19
23,Delliele,Shaman,Elemental,,9204776.6685835,241717,729,Thrall,Speak,Araz's Ritual Forge,Diamantine Voidcore,Z6bpjhAfJkWC1R84,1
24,Shn,Warlock,Destruction,Hellcaller,9196981.9548648,201661,729,Frostmourne,Honestly,Diamantine Voidcore,Astral Antenna,zG1q8kwWA9RxdV6X,11
