rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
1,Hoponpoe,Hunter,BeastMastery,Dark Ranger,11398713.395888,349988,729,Frostmourne,Honestly,Araz's Ritual Forge,Unyielding Netherprism,zG1q8kwWA9RxdV6X,29
2,Mistiiqt,Hunter,BeastMastery,Dark Ranger,11154617.27274,349105,729,Thrall,Muscle Memory,Unyielding Netherprism,Araz's Ritual Forge,q2XjDVbwQ7HMvmht,6
3,Winnehild,Hunter,BeastMastery,Dark Ranger,11141686.541953,371198,729,Stormrage,Slurp Squad,Astral Antenna,Unyielding Netherprism,79J4XLYBtzZknW62,46
4,Austinggfive,Hunter,BeastMastery,Dark Ranger,10921861.807161,361285,729,Area 52,Death Jesters,Unyielding Netherprism,Sigil of the Cosmic Hunt,YK9XyjmZpf3D1b6G,10
5,Biteh,Hunter,BeastMastery,Dark Ranger,10857554.977131,386106,729,Area 52,Incarnate,Araz's Ritual Forge,Unyielding Netherprism,8K74RjqbtyBJzWf3,1
6,Beckonsail,Hunter,BeastMastery,Dark Ranger,10854522.300317,369636,729,Thrall,Notion,Araz's Ritual Forge,Unyielding Netherprism,czCRNkhBTmMnvaQP,3
7,Austinggtwo,Hunter,BeastMastery,Dark Ranger,10826228.620025,365108,729,Zul'jin,Refined,Unyielding Netherprism,Ara-Kara Sacbrood,AyFtkxaGnqpTbZwP,1
8,Xregicide,Hunter,BeastMastery,Dark Ranger,10810315.376482,377349,729,Area 52,Mesmerize,Unyielding Netherprism,Araz's Ritual Forge,62N1Fa4gBMycCf7W,11
9,Garnetqq,Hunter,BeastMastery,Dark Ranger,10800793.652571,383998,729,Area 52,Vibrant,Araz's Ritual Forge,Unyielding Netherprism,9zrvwZgP81Qqak3C,23
10,Justjuice,Hunter,BeastMastery,Dark Ranger,10798338.641579,359064,729,Area 52,now watch this drive,Araz's Ritual Forge,Unyielding Netherprism,aYK2WtzHwVhx1ypq,2
11,Cheekgripper,DeathKnight,Frost,Rider of the Apocalypse,10789918.57222,330219,729,Area 52,Consequence,Astral Antenna,Unyielding Netherprism,Kf4bP7WTkvHdqQA2,47
12,Kayzerh,Hunter,BeastMastery,Dark Ranger,10780086.968,375000,729,Zul'jin,Grimoire,Unyielding Netherprism,Improvised Seaforium Pacemaker,87yPZLgzCrW6bN2H,4
13,Tyrannar,Hunter,BeastMastery,Dark Ranger,10775230.465834,425946,729,Proudmoore,Rally,Unyielding Netherprism,Astral Antenna,TtmjN87vqfKQWaRG,14
14,Tootèr,Hunter,BeastMastery,Dark Ranger,10765576.651859,403167,729,Thrall,Team Mini,Araz's Ritual Forge,Unyielding Netherprism,W4a1yZtHjwqnLYRJ,4
15,Jeavex,Hunter,BeastMastery,Dark Ranger,10754384.390202,349460,729,Stormrage,Remnants of Shadowmoon,Unyielding Netherprism,Astral Antenna,QhRCM2caDyLwnTBV,8
16,Velcruza,Hunter,BeastMastery,Dark Ranger,10693407.073091,349635,729,Thrall,vodka,Unyielding Netherprism,Araz's Ritual Forge,HPGVCWNa7xZcJrmL,10
17,Hordeforsure,Hunter,BeastMastery,Dark Ranger,10677527.510279,372588,729,Altar of Storms,Notion,Araz's Ritual Forge,Unyielding Netherprism,6bXAgyCB83j4kaGQ,7
18,Dreamx,Mage,Arcane,Spellslinger,10675608.211199,372540,729,Illidan,Shade,Diamantine Voidcore,Astral Antenna,ykZATcPaH9qCJ7Kn,41
19,Saladoris,Hunter,BeastMastery,Dark Ranger,10663130.104318,398780,727,Area 52,Fight,Unyielding Netherprism,Ara-Kara Sacbrood,MTr6DGh3ZygAnw8C,28
20,Fitshin,Hunter,BeastMastery,Dark Ranger,10662364.781782,349376,729,Sargeras,comma,Araz's Ritual Forge,Unyielding Netherprism,BDzg1VNMy73Ar8Th,4
21,Chaincleave,Hunter,BeastMastery,Dark Ranger,10630095.232615,373664,729,Sargeras,Hollow Purple,Araz's Ritual Forge,Unyielding Netherprism,dhD91zMbaBY8kpVj,5
22,Apexdk,DeathKnight,Frost,Rider of the Apocalypse,10585075.567789,339695,729,Mal'Ganis,Pathogen,Unyielding Netherprism,Astral Antenna,Wqjh6CHkvdf7XnJY,1
23,Callmetog,DeathKnight,Frost,Rider of the Apocalypse,10542387.708469,336980,729,Zul'jin,Tempo,Unyielding Netherprism,Astral Antenna,cAfYqBKprkwjg1HC,1
24,Odbabymage,Mage,Arcane,Spellslinger,10542191.839501,363017,729,Emerald Dream,Idiot,Astral Antenna,Diamantine Voidcore,GCaFNbv6dxyAtWPk,2
25,Smorc,Hunter,BeastMastery,Dark Ranger,10541322.861829,372503,729,Frostmourne,Entropy,Unyielding Netherprism,Araz's Ritual Forge,vh9zTyAqnjdaFWZK,34
26,Kale,Hunter,BeastMastery,Dark Ranger,10536455.493468,338411,729,Frostmourne,Cope,Unyielding Netherprism,Araz's Ritual Forge,9c2jrznKkJfNMg8B,2
27,Wacky,Hunter,BeastMastery,Dark Ranger,10533535.322381,358597,729,Kil'jaeden,Intent,Unyielding Netherprism,Araz's Ritual Forge,Vh9XLq1J8jaTPg7w,35
28,Sixsnot,Hunter,BeastMastery,Dark Ranger,10533114.271976,409698,726,Area 52,Death Star Architect,Unyielding Netherprism,Ara-Kara Sacbrood,4N3z6jBXwbpdxmqD,25
29,Aimsucks,Hunter,BeastMastery,Dark Ranger,10494324.133358,395146,729,Sargeras,Room Forty,Unyielding Netherprism,Astral Antenna,VCYk7hApLNZXt3z2,4
30,Rumpa,Hunter,BeastMastery,Dark Ranger,10485812.1561,346394,729,Zul'jin,Wing It,Araz's Ritual Forge,Unyielding Netherprism,WazyRpGZLXmwCrP1,47
31,Xcw,Hunter,BeastMastery,Dark Ranger,10476681.89719,340588,729,Stormrage,Divergence,Unyielding Netherprism,Araz's Ritual Forge,nfw6a72ZK3g9hxHF,5
32,Feterschwanz,Hunter,BeastMastery,Dark Ranger,10472000.5809,347736,729,Area 52,fish zoo,Araz's Ritual Forge,Unyielding Netherprism,j1WyfHcxabMhYJGZ,1
33,Chazzdk,DeathKnight,Frost,Rider of the Apocalypse,10467192.78442,342398,729,Frostmourne,Honestly,Astral Antenna,Unyielding Netherprism,xr28X4QgycLtYBHm,40
34,Sobiezhunter,Hunter,BeastMastery,Dark Ranger,10465081.511555,365028,729,Area 52,Parse Envy,Improvised Seaforium Pacemaker,Unyielding Netherprism,VvbZh6yXxB7PWY9R,26
35,Stinkycpt,Hunter,BeastMastery,Dark Ranger,10463331.975421,366003,728,Area 52,Winky Face,Unyielding Netherprism,Araz's Ritual Forge,jtHGAMnwW3B9kDhC,14
