rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
1,Dakd,Druid,Balance,Tiger Thwap! (Unknown),8605290.0871775,193628,729,Illidan,Shade,Araz's Ritual Forge,Diamantine Voidcore,f3mLFVvr1hxdwtqz,23
2,Chickenism,Druid,Balance,Druid of the Claw,8581232.9239309,190603,729,Icecrown,Vindicatum,Araz's Ritual Forge,Diamantine Voidcore,qhFkVLgBj6Gn2wfc,3
3,Frendz,Warlock,Destruction,Diabolist,8493974.1908519,191405,729,Tichondrius,Blur,Diamantine Voidcore,Azhiccaran Parapodia,ZVw9JvpkKTafjDR1,1
4,Azunazx,Mage,Fire,Spellslinger,8453347.2589049,180603,728,Hyjal,Twitch Prime,Diamantine Voidcore,Astral Antenna,q9nZmvMXyRtNBr8x,3
5,Blueprínt,Evoker,Devastation,Scalecommander,8440232.4598735,164480,729,Frostmourne,Honestly,Araz's Ritual Forge,Astral Antenna,q8CN6apFGxvwKk1r,6
6,Palsham,Shaman,Elemental,,8424564.3679465,176330,729,Frostmourne,Barbershop Quartet,Astral Antenna,Araz's Ritual Forge,ny4pg8WPCXafKQD2,11
7,Padflash,Mage,Fire,Spellslinger,8418028.4445438,179015,729,Frostmourne,Honestly,Diamantine Voidcore,Azhiccaran Parapodia,4PC6jMgDVyqpaNrA,4
8,Scalyskin,Druid,Balance,Tiger Thwap! (Unknown),8362918.8438053,175230,729,Frostmourne,Copium,Astral Antenna,Araz's Ritual Forge,6Cj3qWmTyYtVJprg,5
9,Thota,Druid,Balance,Druid of the Claw,8357992.2724303,186734,729,Mal'Ganis,nVus,Diamantine Voidcore,Araz's Ritual Forge,kYzqFfga9LMJQvwr,13
10,Dreamx,Mage,Arcane,Spellslinger,8330219.82151,188694,729,Illidan,Shade,Diamantine Voidcore,Screams of a Forgotten Sky,ykZATcPaH9qCJ7Kn,1
11,Zorthar,Shaman,Elemental,,8312438.6389005,146029,729,Frostmourne,Honestly,Diamantine Voidcore,Araz's Ritual Forge,2VtyDR4CF6PGLjbd,5
12,Recruitie,Druid,Balance,Druid of the Claw,8239716.5410665,188694,729,Illidan,Shade,Diamantine Voidcore,Araz's Ritual Forge,ykZATcPaH9qCJ7Kn,1
13,Revelstoke,Druid,Balance,Tiger Thwap! (Unknown),8238780.066509,187343,729,Illidan,Tempo,Araz's Ritual Forge,Astral Antenna,A6akQ8yZt1Tnhfbj,2
14,Shaydde,Hunter,BeastMastery,Dark Ranger,8227798.3587905,186326,729,Bleeding Hollow,Resonate,Ara-Kara Sacbrood,Unyielding Netherprism,6WM89rKm4a2Vtc3q,14
15,Zorthargirl,Shaman,Elemental,,8208899.3681634,166657,729,Frostmourne,Honestly,Astral Antenna,Araz's Ritual Forge,HjchZT7RwKBaQY6v,2
16,Cznfik,Druid,Balance,Tiger Thwap! (Unknown),8192869.6567812,185188,729,Area 52,Idiot,Araz's Ritual Forge,Diamantine Voidcore,qpA8fNFJwaP7R2dg,14
17,Kamed,Druid,Balance,Druid of the Claw,8137460.8658138,180801,729,Tichondrius,Blur,Araz's Ritual Forge,Diamantine Voidcore,RvfmB4WADHVhQ9kP,1
18,Noxzap,Shaman,Elemental,,8120827.7713379,147519,729,Frostmourne,Honestly,Araz's Ritual Forge,Diamantine Voidcore,Fa9jnQw318YRxNWf,5
19,Amelie,Druid,Balance,Druid of the Claw,8115422.5163874,180322,729,Tichondrius,Blur,Astral Antenna,Araz's Ritual Forge,4FHk6zJDK32G1LWp,2
20,Senitha,Mage,Fire,Spellslinger,8090030.4136325,168773,729,Frostmourne,Honestly,Azhiccaran Parapodia,Diamantine Voidcore,PwNJjvzGprxkVyMH,5
21,Logeker,Druid,Balance,Tiger Thwap! (Unknown),8088563.8348441,180920,729,Frostmourne,Odyssey,Araz's Ritual Forge,Diamantine Voidcore,T6vBcZM8qwGp4Jbn,15
22,Ashslash,Mage,Fire,Spellslinger,8071769.2166401,168773,729,Frostmourne,Honestly,Azhiccaran Parapodia,Diamantine Voidcore,PwNJjvzGprxkVyMH,5
23,Shg,Druid,Balance,Tiger Thwap! (Unknown),8042848.6093317,147519,729,Frostmourne,Honestly,Diamantine Voidcore,Araz's Ritual Forge,Fa9jnQw318YRxNWf,5
24,Fiskieslip,Shaman,Elemental,,8009038.8377729,182374,729,Area 52,Leviathan - Kraken,Araz's Ritual Forge,Diamantine Voidcore,tc9AyW62PY7Rp4zd,3
25,Druidboy,Druid,Balance,Tiger Thwap! (Unknown),8000514.5361697,183095,729,Area 52,Sacred Lotus,Diamantine Voidcore,Araz's Ritual Forge,bjzfLVa6yAkrwB8g,24
26,Noctuss,Druid,Balance,Druid of the Claw,7996284.2777268,191728,729,Mal'Ganis,velocity,Araz's Ritual Forge,Diamantine Voidcore,qGn7HQLhyfCBV3Z1,5
27,Xyroleaf,Shaman,Elemental,,7995922.6579963,172235,729,Mal'Ganis,velocity,Araz's Ritual Forge,Diamantine Voidcore,mg2LKAH8F4XBkxhd,1
28,Chazzed,Druid,Balance,Druid of the Claw,7982506.1939752,146029,729,Frostmourne,Honestly,Araz's Ritual Forge,Diamantine Voidcore,2VtyDR4CF6PGLjbd,5
29,Sepelio,Warlock,Destruction,Diabolist,7982401.6256275,163137,729,Frostmourne,Honestly,Diamantine Voidcore,Astral Antenna,z72yR6Wv3AV8fB1Q,7
30,Mythenera,Druid,Balance,Tiger Thwap! (Unknown),7970393.5421008,184735,729,Wyrmrest Accord,Mist,Araz's Ritual Forge,Diamantine Voidcore,W9PMzHqL4KRxJmdA,1
31,Soulsad,Warlock,Destruction,Diabolist,7968426.5701925,170823,729,Zul'jin,Shade,Azhiccaran Parapodia,Diamantine Voidcore,Bft6FkNcZnwLbyKP,11
32,Krexonaut,Monk,Windwalker,Poison-Drenched Armor (Unknown),7957591.6253175,176747,729,Area 52,SNAP,Araz's Ritual Forge,Astral Antenna,drHKpygjBZ8X21b6,32
33,Plzbuffmage,Mage,Fire,Spellslinger,7944740.3450739,177759,729,Frostmourne,Honestly,Azhiccaran Parapodia,Diamantine Voidcore,FA9713DkntPCwxX4,7
34,Permuted,Druid,Balance,Druid of the Claw,7939745.4871221,178600,729,Tichondrius,Reforged,Araz's Ritual Forge,Diamantine Voidcore,VghKWa48YcdmrntR,27
35,Asinis,DeathKnight,Frost,Rider of the Apocalypse,7933908.9783434,163137,729,Frostmourne,Honestly,Astral Antenna,Araz's Ritual Forge,z72yR6Wv3AV8fB1Q,7
36,Deja,Druid,Balance,Druid of the Claw,7922674.8800614,182385,729,Frostmourne,Cope,Diamantine Voidcore,Araz's Ritual Forge,VBcF1wDP2Wm9yMLJ,12
37,Brandodragon,Evoker,Devastation,,7919939.5300641,178535,729,Hyjal,Wing It,Diamantine Voidcore,Araz's Ritual Forge,X1BhaYbGKkJZcHDr,2
38,Eonjr,Warlock,Destruction,Hellcaller,7892626.315506,185670,729,Frostmourne,Scuffed,Diamantine Voidcore,Azhiccaran Parapodia,gaLFJRCWArM2P6ct,2
39,Goommi,Druid,Feral,Wildstalker,7875451.4453585,189261,729,Area 52,Shots Fired,Araz's Ritual Forge,Astral Antenna,br8xc7XLAZQPM6Fw,2
40,Learning,Druid,Feral,Druid of the Claw,7865855.5443617,176684,729,Kil'jaeden,grr woof woof bark,Araz's Ritual Forge,Astral Antenna,ZMQjLW7prYfkt6mx,12
41,ßràíñrøt,Druid,Balance,Druid of the Claw,7857786.1784319,175899,729,Frostmourne,Barbershop Quartet,Araz's Ritual Forge,Astral Antenna,xHyrGT4hBpXdAbft,4
42,Instelling,Druid,Balance,Tiger Thwap! (Unknown),7845739.4590208,184850,729,Proudmoore,head empty,Araz's Ritual Forge,Astral Antenna,GWpDXTYrc8RPmfMw,8
43,Redresolve,Mage,Arcane,Spellslinger,7841958.1268214,188044,729,Proudmoore,Nascent,Diamantine Voidcore,Screams of a Forgotten Sky,9jnkfM4PZ78Kd2vL,16
44,Garnetqqtwo,Hunter,BeastMastery,Dark Ranger,7816672.0144052,246023,729,Area 52,Death Star Architect,Unyielding Netherprism,Ara-Kara Sacbrood,Z7HgYVw3jAP8DCB2,18
45,Gorelul,Druid,Balance,Druid of the Claw,7811751.118677,164480,729,Frostmourne,Honestly,Araz's Ritual Forge,Diamantine Voidcore,q8CN6apFGxvwKk1r,6
46,Màzz,Mage,Fire,Spellslinger,7810277.6399016,182128,729,Area 52,Idiot,Azhiccaran Parapodia,Diamantine Voidcore,KkyqjJ9BXCNPHLAh,19
47,Jolive,Mage,Arcane,Spellslinger,7802597.5450002,185499,729,Area 52,Mid Team,Diamantine Voidcore,Astral Antenna,Qc4zWFB7XV9ntdvJ,1
48,Bootypop,Druid,Balance,Tiger Thwap! (Unknown),7799592.2920567,186950,728,Frostmourne,The Full Stick,Astral Antenna,Araz's Ritual Forge,fN17DtF8nKmZ6cWq,14
49,Cariezz,Druid,Balance,Druid of the Claw,7793026.6658408,193731,729,Illidan,Envelop,Araz's Ritual Forge,Astral Antenna,CawGF6tR1gzbxvJd,5
50,Zephrane,Druid,Balance,Druid of the Claw,7792446.4993098,178222,729,Frostmourne,Entropy,Araz's Ritual Forge,Diamantine Voidcore,vh9zTyAqnjdaFWZK,4
51,Nascarhealme,Druid,Balance,Druid of the Claw,7790555.1174566,192752,729,Bleeding Hollow,Tab Target,Araz's Ritual Forge,Astral Antenna,27MrTP3NW6LZbwtK,1
52,Hoofheartd,Druid,Feral,Druid of the Claw,7789222.8077863,173432,729,Area 52,Fun Detected,Astral Antenna,Araz's Ritual Forge,ZQrYN1F87AR6af9T,20
53,Nsirp,Mage,Arcane,Spellslinger,7788236.6763579,188143,729,Tichondrius,Mid Team,Diamantine Voidcore,Screams of a Forgotten Sky,W4tV312MHF9qhrzT,11
54,Xygus,Warlock,Destruction,Diabolist,7788109.3784417,177055,729,Frostmourne,Crimson,Azhiccaran Parapodia,Diamantine Voidcore,NnQ96RkKmZVthaWJ,4
55,Sheepoceanic,Druid,Balance,Druid of the Claw,7783910.1139007,182264,728,Frostmourne,Myth,Araz's Ritual Forge,Diamantine Voidcore,8L7H9Rptd6zADyqn,3
56,Dwilkz,Druid,Balance,Druid of the Claw,7773520.045468,179467,729,Zul'jin,Refined,Araz's Ritual Forge,Diamantine Voidcore,f6MDbRnhg8qLv2Np,4
57,Balrougex,Hunter,Marksmanship,Dark Ranger,7771537.1280792,191405,729,Tichondrius,Blur,Unyielding Netherprism,Improvised Seaforium Pacemaker,ZVw9JvpkKTafjDR1,1
58,Cleansekin,Druid,Balance,Druid of the Claw,7770995.8263578,170834,729,Area 52,Muscle Memory,Araz's Ritual Forge,Astral Antenna,Q37cLxk2VbpABPNR,24
59,Snöwy,Mage,Arcane,Spellslinger,7767229.7803365,178910,729,Illidan,Country Club,Araz's Ritual Forge,Diamantine Voidcore,N8c4b6P9gyYLAkFv,2
60,Elerra,Warlock,Destruction,Diabolist,7765823.4235103,186633,729,Sargeras,FwF,Diamantine Voidcore,Astral Antenna,tQHZ7prRDdVKCYGz,4
61,Shoodini,Mage,Arcane,Spellslinger,7763931.6086573,186895,729,Area 52,Do Over,Screams of a Forgotten Sky,Diamantine Voidcore,2j8zkHbyDcTMqYNF,1
62,Ikkuzac,Druid,Balance,Unknown Cluster 4 (Unknown),7763630.8495198,190849,728,Illidan,Rain,Araz's Ritual Forge,Astral Antenna,kvACBGPnt13br4VL,2
63,Bozlaay,Druid,Balance,Tiger Thwap! (Unknown),7748522.3247844,180920,729,Frostmourne,Odyssey,Araz's Ritual Forge,Diamantine Voidcore,T6vBcZM8qwGp4Jbn,15
64,Fraudits,Druid,Balance,Tiger Thwap! (Unknown),7746214.6780033,172067,729,Illidan,Just Woke Up,Diamantine Voidcore,Araz's Ritual Forge,Mhr9P3zxaZ2fdANb,100
65,Booze,Shaman,Elemental,,7744617.8168214,181222,729,Frostmourne,Entropy,Diamantine Voidcore,Araz's Ritual Forge,JyVqkCjhwdnQpFmr,5
66,Fipxd,Druid,Balance,Druid of the Claw,7737723.949233,186578,729,Stormrage,Very Demure,Araz's Ritual Forge,Diamantine Voidcore,hKBqb7DLT9prJAv8,20
67,Nobx,Hunter,BeastMastery,Dark Ranger,7734949.3077634,176457,729,Illidan,Just Woke Up,Araz's Ritual Forge,Unyielding Netherprism,4RTKMVwbA3QyfH6q,1
68,Itsdnl,Hunter,BeastMastery,Dark Ranger,7729219.8479556,253084,729,Area 52,Fierce,Unyielding Netherprism,Araz's Ritual Forge,9jthfXWcPHmRB18x,2
69,Zzephyrdruid,Druid,Balance,Tiger Thwap! (Unknown),7728530.0523752,185393,729,Shattered Hand,Shots Fired,Araz's Ritual Forge,Diamantine Voidcore,facbJHnP8LTGt4DM,41
70,Catgirlhunt,Hunter,BeastMastery,Dark Ranger,7725007.2483294,259784,728,Stormrage,Imperative,Unyielding Netherprism,Araz's Ritual Forge,QJ3FMba2gnLCrD76,5
71,Swibsy,Mage,Arcane,Spellslinger,7724319.2722315,187752,729,Frostmourne,Hypothesis,Diamantine Voidcore,Azhiccaran Parapodia,CnLR8gzpQxPq7Fjr,1
72,Babybrain,Warlock,Destruction,Diabolist,7719611.4271282,182128,729,Area 52,Idiot,Azhiccaran Parapodia,Diamantine Voidcore,KkyqjJ9BXCNPHLAh,19
73,Castro,Hunter,Marksmanship,Dark Ranger,7717291.2192594,262438,728,Stormrage,Boyfriends,Unyielding Netherprism,Astral Antenna,vQhx9bMgLKpdyfJY,2
74,Augstakas,Paladin,Retribution,,7717285.1605121,182385,729,Frostmourne,Cope,Araz's Ritual Forge,Astral Antenna,VBcF1wDP2Wm9yMLJ,12
75,Chizwiz,Mage,Arcane,Spellslinger,7712477.5691198,187175,729,Tichondrius,Daybreak,Azhiccaran Parapodia,Diamantine Voidcore,r1jMVFtP2mN84ZgY,4
76,Eroka,Warrior,Fury,Slayer,7710236.0238342,147519,729,Frostmourne,Honestly,Ara-Kara Sacbrood,Eradicating Arcanocore,Fa9jnQw318YRxNWf,5
77,Wallbears,Hunter,Marksmanship,Dark Ranger,7702972.789174,233069,728,Darrowmere,Adequate,Unyielding Netherprism,Astral Antenna,DA6hNFfgn14tpQ7z,2
78,Connoisseur,Hunter,Marksmanship,Dark Ranger,7702299.7489014,175230,729,Frostmourne,Copium,Unyielding Netherprism,Astral Antenna,6Cj3qWmTyYtVJprg,5
79,Yxm,Mage,Arcane,Spellslinger,7696435.2662863,184726,729,Tichondrius,Nerd Rage,Diamantine Voidcore,Azhiccaran Parapodia,kzdY1BqmxGNJHwpR,1
80,Hoponwow,Hunter,BeastMastery,Dark Ranger,7696399.6683843,223753,729,Frostmourne,Post Prog Clarity,Araz's Ritual Forge,Unyielding Netherprism,ZyJzCYAGVtTq68ab,6
81,Firaa,Hunter,BeastMastery,Dark Ranger,7693541.7044711,236965,729,Illidan,DMG,Araz's Ritual Forge,Unyielding Netherprism,ZHQ6thmCBgc3AVwM,13
82,Calemi,Mage,Arcane,Spellslinger,7678847.7096176,188331,729,Area 52,Sacred Lotus,Araz's Ritual Forge,Diamantine Voidcore,k2ZCYdnMj34vBGQc,2
83,Humblefred,Mage,Fire,Spellslinger,7669687.7079433,186950,729,Frostmourne,The Full Stick,Azhiccaran Parapodia,Diamantine Voidcore,fN17DtF8nKmZ6cWq,14
84,Fisheye,Hunter,BeastMastery,Dark Ranger,7667812.5808579,239618,729,Silvermoon,Drunk Tanks Anonymous,Unyielding Netherprism,Araz's Ritual Forge,WcN8QHLAGKgRM6xw,2
85,Arusmagus,Mage,Arcane,Spellslinger,7667333.5310837,266329,729,Area 52,Idiot,Astral Antenna,Diamantine Voidcore,D7MPrQTv2AnFWaRG,18
86,Tonyst,Shaman,Elemental,,7665960.486357,174522,729,Thrall,Do Over,Araz's Ritual Forge,Diamantine Voidcore,97Hb6Cdz3wvJ1yjp,2
87,Farwestasian,Druid,Balance,Druid of the Claw,7664995.5501662,184726,729,Tichondrius,Nerd Rage,Diamantine Voidcore,Araz's Ritual Forge,kzdY1BqmxGNJHwpR,1
88,Sennvoke,Evoker,Augmentation,Scalecommander,7664094.8943866,180801,729,Tichondrius,Blur,Diamantine Voidcore,Lily of the Eternal Weave,RvfmB4WADHVhQ9kP,1
89,Shamagonz,Shaman,Elemental,,7663151.7495824,223882,729,Ragnaros,Ascended,Araz's Ritual Forge,Diamantine Voidcore,m6aPwfQXng1xKMrJ,4
90,Locochicken,Druid,Balance,Unknown Cluster 4 (Unknown),7662339.6213038,183366,729,Area 52,sup breh,Araz's Ritual Forge,Diamantine Voidcore,pVDQBG6NqwbczFaf,23
91,Víper,Paladin,Retribution,,7658733.3668465,186991,729,Frostmourne,Restricted,Araz's Ritual Forge,Screams of a Forgotten Sky,mJyaHD46VpckFxjY,2
92,Austinggtwo,Hunter,BeastMastery,Dark Ranger,7657395.6416595,224122,729,Zul'jin,Refined,Unyielding Netherprism,Ara-Kara Sacbrood,6hVqYJ7QamZ4Apgn,5
93,Nintendogz,Druid,Feral,Druid of the Claw,7653208.2244263,229171,728,Area 52,Atrocious,Araz's Ritual Forge,Astral Antenna,mWvc3pjq1z9gR2J8,2
94,Lencely,Mage,Arcane,Spellslinger,7648358.9785675,188872,729,Area 52,Reckless Ambition,Diamantine Voidcore,Astral Antenna,wBmJ2QqH1YVRzfK7,4
95,Unulwist,Mage,Arcane,Spellslinger,7635124.3266905,187321,729,Illidan,Midnights,Azhiccaran Parapodia,Diamantine Voidcore,dZTgHRt2aXzhDmF1,2
96,Mizual,Druid,Balance,Tiger Thwap! (Unknown),7631330.5613639,186991,729,Frostmourne,Restricted,Diamantine Voidcore,Araz's Ritual Forge,mJyaHD46VpckFxjY,2
97,Madthehunt,Hunter,BeastMastery,Dark Ranger,7626061.1344549,185869,729,Illidan,Fierce,Araz's Ritual Forge,Unyielding Netherprism,KxdABn4mYM1QF9D7,12
98,Boomwhack,Druid,Balance,Druid of the Claw,7625329.0426987,187851,729,Tichondrius,Unbalanced,Araz's Ritual Forge,Astral Antenna,VHvn346zgYqJ719k,28
99,Noct,Hunter,BeastMastery,Dark Ranger,7623091.9460528,230744,729,Frostmourne,Restricted,Araz's Ritual Forge,Unyielding Netherprism,LxNQqAJwrVF3f4PK,1
100,Fistlad,Evoker,Devastation,,7620189.3984482,181464,729,Stormreaver,Rain,Araz's Ritual Forge,Astral Antenna,z4P37VZbDkcaQdhK,4
