rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
1,Zorthar,Shaman,Elemental,,12543244.112613,203316,729,Frostmourne,Honestly,Diamantine Voidcore,Araz's Ritual Forge,rmWv4PMfg1h8Fp62,10
2,Tottuan,Monk,Windwalker,Imbued Poison (Unknown),12513217.896242,285356,727,Proudmoore,Absolutely Zero,Araz's Ritual Forge,Astral Antenna,aFx4TCPt2hAV8MNG,11
3,Roingus,Rogue,Subtlety,Fatebound,12230957.355888,304919,727,Sargeras,Hollow Purple,Unyielding Netherprism,Araz's Ritual Forge,m1rLRpjtH6gPAQK8,10
4,Miltiddies,Warrior,Fury,Slayer,12216999.331299,465081,725,Stormrage,Legend,Ara-Kara Sacbrood,Astral Antenna,6vcDPKwrZkRXbLqt,12
5,Zaxa,Monk,Windwalker,Conduit of the Celestials,12213120.757788,290002,729,Area 52,Pull Count,Araz's Ritual Forge,Astral Antenna,fxcH7B32Qk1pw9Vz,15
6,Gwozr,Rogue,Subtlety,Deathstalker,12154016.729936,208369,729,Illidan,Tempo,Araz's Ritual Forge,Unyielding Netherprism,7V6qFRmGcb4f91kh,32
7,Vathionk,Monk,Windwalker,Conduit of the Celestials,12121166.237825,287985,729,Area 52,Reckless Ambition,Improvised Seaforium Pacemaker,Empowering Crystal of Anub'ikkaj,M61wRWFm4jYP7XGL,32
8,Pandaeréctus,Hunter,Marksmanship,Dark Ranger,12086148.459634,235074,729,Illidan,,Astral Antenna,Unyielding Netherprism,Vak2Wt1D9Zm3pCg8,22
9,Addleadzenzo,Warrior,Fury,Slayer,12063602.886255,240450,729,Illidan,,Screams of a Forgotten Sky,Eradicating Arcanocore,dRwqn7J34GvThbBM,2
10,Masabate,Shaman,Elemental,,12043646.542656,325134,726,Proudmoore,Logic Gaming,Astral Antenna,Lily of the Eternal Weave,tCxy8pJNzQghkZAd,14
11,Pokemeharder,Rogue,Subtlety,Fatebound,11967755.597085,291089,727,Kel'Thuzad,Handle It,Astral Antenna,Unyielding Netherprism,1VAN4zfJyvDxQ9WT,8
12,Muffinmcgee,Rogue,Subtlety,Deathstalker,11957078.667818,253509,729,Frostmourne,Da Bishes,Unyielding Netherprism,Sigil of the Cosmic Hunt,qk3WrAwKzN9yhj2p,10
13,Shindigw,Rogue,Subtlety,Deathstalker,11922343.706224,209874,728,Area 52,Idiot,Araz's Ritual Forge,Unyielding Netherprism,pAtX4hdZTLk9fB87,20
14,Amulobster,Warrior,Fury,Slayer,11873579.658455,382439,729,Illidan,Van,Screams of a Forgotten Sky,Eradicating Arcanocore,jAvp832RkCfYhbHg,12
15,Seräxis,Rogue,Subtlety,Deathstalker,11869315.273062,308098,728,Area 52,Disconnect,Araz's Ritual Forge,Unyielding Netherprism,RqJPNtzAX6aF7Tb2,10
16,Syross,Warrior,Fury,Slayer,11788808.649521,365685,729,Mal'Ganis,true,Eradicating Arcanocore,Ara-Kara Sacbrood,37DJw4NnqWHRbx8B,18
