rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
1,Jroofat,Warlock,Destruction,Diabolist,14932137.618847,312588,729,Illidan,vodka,Astral Antenna,Azhiccaran Parapodia,dbRm9K1hc4PDyp2B,28
2,Shn,Warlock,Destruction,Diabolist,14491300.432545,287369,728,Frostmourne,Honestly,Diamantine Voidcore,Astral Antenna,C1XdjGVF3hvLrJ2H,32
3,Bryon,Warlock,Destruction,Diabolist,14208746.406084,227746,729,Frostmourne,Honestly,Diamantine Voidcore,Azhiccaran Parapodia,Fa9jnQw318YRxNWf,40
4,Ashslash,Mage,Fire,Spellslinger,13899703.569119,284552,729,Frostmourne,Honestly,Azhiccaran Parapodia,Diamantine Voidcore,zG1q8kwWA9RxdV6X,24
5,Ukiyoace,Warlock,Destruction,Diabolist,13829812.972861,328717,729,Illidan,,Diamantine Voidcore,Astral Antenna,KLq8V2hDkFntWm9v,33
6,Padflash,Mage,Fire,Spellslinger,13793654.289895,284296,729,Frostmourne,Honestly,Diamantine Voidcore,Azhiccaran Parapodia,qfB8bFmPJtYLZRkK,26
7,Slurpdat,Warlock,Destruction,Diabolist,13688240.562664,377490,729,Tichondrius,Dinosaur Dollars,Diamantine Voidcore,Astral Antenna,drKQHTFnAD2wpJV1,26
8,Senitha,Mage,Fire,Spellslinger,13520077.995168,305442,729,Frostmourne,Honestly,Azhiccaran Parapodia,Diamantine Voidcore,QxBR34kfjAMDW1mY,33
9,Taethelana,Warlock,Destruction,Diabolist,13509866.868339,324288,729,Mal'Ganis,Awakeníng,Azhiccaran Parapodia,Diamantine Voidcore,cQrayGhfBAYX12nm,9
10,Eonjr,Warlock,Destruction,Diabolist,13493075.164256,343062,729,Frostmourne,Scuffed,Diamantine Voidcore,Azhiccaran Parapodia,y162nJ8mjxaNqK7R,41
11,Babybrian,Warlock,Destruction,Diabolist,13473181.874858,290326,728,Zul'jin,Idiot,Diamantine Voidcore,Azhiccaran Parapodia,Rk6DjnHL19a4bGgX,56
12,Babybrain,Warlock,Destruction,Diabolist,13419856.105598,322278,729,Area 52,Idiot,Azhiccaran Parapodia,Diamantine Voidcore,gXmGF4Vvt9xHydbW,37
13,Instrom,Mage,Fire,Spellslinger,13410449.165556,304754,729,Barthilas,Entropy,Azhiccaran Parapodia,Diamantine Voidcore,Pmnx1ZBdzNb3G6y4,42
14,Frendz,Warlock,Destruction,Diabolist,13316596.111894,310794,729,Tichondrius,Blur,Diamantine Voidcore,Azhiccaran Parapodia,KfvdwYgn8MzFBHQX,34
15,Joshie,Warlock,Destruction,Diabolist,13274353.523228,288230,729,Frostmourne,Ethical,Azhiccaran Parapodia,Diamantine Voidcore,1mZFpB9DgabfMXH3,37
16,Threefatez,Warlock,Destruction,Diabolist,13254863.1954,345215,729,Area 52,Dsylxeic,Astral Antenna,Diamantine Voidcore,zQPFbWXZ9k8Bwtvj,32
17,Mannimarco,Warlock,Destruction,Diabolist,13147972.047769,329920,729,Mal'Ganis,Grizzly Hills Track Team,Diamantine Voidcore,Azhiccaran Parapodia,6GhnVR4YMD8pXa1J,28
18,Gangmi,Warlock,Destruction,Diabolist,13123455.735299,318911,729,Tichondrius,Speak,Diamantine Voidcore,Azhiccaran Parapodia,jAd8Q72TMLKvqCWG,28
19,Elerra,Warlock,Destruction,Diabolist,13077991.937781,284413,728,Sargeras,FwF,Azhiccaran Parapodia,Astral Antenna,tQHZ7prRDdVKCYGz,29
20,Pallocktwo,Warlock,Destruction,Diabolist,13051937.531973,392905,729,Mal'Ganis,,Azhiccaran Parapodia,Diamantine Voidcore,Rt9fCmZqWzkGv76y,7
